Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"140,0000","-0,57","141,2000","139,4000",34.697,"4.864,42",09/04/2021,15:44:12,7.723.817
ACERINOX,"11,4350","1,28","11,4800","11,2350",501.092,"5.704,39",09/04/2021,15:44:36,3.054.467
ACS,"27,5500","-1,01","27,9800","27,5500",453.555,"12.644,63",09/04/2021,15:44:01,8.645.796
AENA,"138,9500","-0,68","140,4000","138,9500",70.967,"9.920,91",09/04/2021,15:43:27,20.985.000
ALMIRALL,"12,5500","-0,48","12,6400","12,4800",126.409,"1.585,06",09/04/2021,15:40:21,2.246.038
AMADEUS,"59,2200","-2,08","60,4200","59,1200",170.252,"10.169,97",09/04/2021,15:44:03,27.246.192
ARCELORMIT.,"24,4550","0,33","24,6050","24,1400",184.340,"4.492,66",09/04/2021,15:43:17,26.880.988
B.SANTANDER,"2,9095","-0,43","2,9410","2,8860",19.975.506,"58.307,17",09/04/2021,15:44:39,50.669.354
BA.SABADELL,"0,4600","-0,15","0,4644","0,4512",20.056.293,"9.176,37",09/04/2021,15:44:41,2.592.343
BANKINTER,"5,8500","-0,44","5,8960","5,8280",492.154,"2.884,28",09/04/2021,15:44:31,5.281.738
BBVA,"4,4585","-1,76","4,5620","4,4360",8.989.157,"40.286,94",09/04/2021,15:44:28,30.262.203
CAIXABANK,"2,5870","0,31","2,5980","2,5560",3.608.392,"9.307,20",09/04/2021,15:44:16,20.788.409
CELLNEX,"42,0600","0,14","42,3200","41,7200",1.530.855,"64.327,09",09/04/2021,15:44:42,20.441.764
CIE AUTOMOT.,"21,7600","-2,77","22,3800","21,7000",113.738,"2.492,14",09/04/2021,15:42:36,2.742.669
ENAGAS,"18,7550","0,54","18,7700","18,4900",291.619,"5.432,06",09/04/2021,15:42:53,4.887.425
ENDESA,"22,6900","-1,18","23,0000","22,6800",297.293,"6.801,04",09/04/2021,15:44:13,24.308.949
FERROVIAL,"22,3000","-0,45","22,4400","22,0700",192.304,"4.295,77",09/04/2021,15:44:37,16.417.013
FLUIDRA,"25,3500","1,00","25,8500","25,1000",274.921,"6.991,67",09/04/2021,15:42:43,4.910.290
GRIFOLS CL.A,"23,5500","0,68","23,5500","23,1700",317.811,"7.436,31",09/04/2021,15:44:29,9.967.176
IAG,"2,4370","-1,85","2,4990","2,4360",6.452.374,"15.906,63",09/04/2021,15:44:39,12.344.175
IBERDROLA,"11,5350","0,00","11,5900","11,4650",5.898.007,"68.170,11",09/04/2021,15:42:49,74.033.429
INDITEX,"27,8300","-0,29","27,9200","27,5700",656.125,"18.192,38",09/04/2021,15:44:34,86.985.757
INDRA A,"7,4650","0,20","7,5100","7,3950",600.602,"4.478,56",09/04/2021,15:44:41,1.316.075
INM.COLONIAL,"8,1350","-1,45","8,2650","8,1300",84.058,"689,40",09/04/2021,15:44:23,4.194.488
MAPFRE,"1,7775","-0,95","1,7990","1,7735",2.065.775,"3.679,08",09/04/2021,15:44:31,5.526.258
MELIA HOTELS,"6,4560","-1,44","6,5960","6,4520",418.486,"2.726,30",09/04/2021,15:44:31,1.443.620
MERLIN,"8,8860","-2,12","9,0720","8,8860",232.432,"2.088,27",09/04/2021,15:44:32,4.264.579
NATURGY,"20,8800","-0,67","21,0200","20,8100",80.059,"1.671,51",09/04/2021,15:43:20,20.381.282
PHARMA MAR,"95,1600","-2,10","97,7200","94,5800",62.256,"5.966,05",09/04/2021,15:44:35,1.784.097
R.E.C.,"15,1150","-0,89","15,2300","15,0800",686.628,"10.427,17",09/04/2021,15:44:36,8.251.470
REPSOL,"10,1900","-0,16","10,2540","10,1400",1.639.976,"16.722,25",09/04/2021,15:44:29,16.001.891
SIEMENS GAME,"31,0600","-1,05","31,4700","30,8800",308.813,"9.611,33",09/04/2021,15:44:10,21.381.091
SOLARIA,"17,9500","-3,60","18,6350","17,7650",865.707,"15.569,70",09/04/2021,15:44:08,2.326.585
TELEFONICA,"3,8015","-0,43","3,8400","3,7825",4.185.051,"15.920,24",09/04/2021,15:44:41,21.099.914
VISCOFAN,"60,0500","-0,17","60,4500","59,7000",31.577,"1.895,00",09/04/2021,15:28:18,2.796.975
