Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"140,6000","-0,14","141,2000","139,4000",25.796,"3.617,08",09/04/2021,13:51:42,7.723.817
ACERINOX,"11,4550","1,46","11,4800","11,2350",430.016,"4.892,19",09/04/2021,14:00:01,3.054.467
ACS,"27,7300","-0,36","27,9800","27,5700",104.570,"2.900,25",09/04/2021,13:56:56,8.645.796
AENA,"140,0000","0,07","140,4000","139,3000",54.645,"7.641,20",09/04/2021,14:00:45,20.985.000
ALMIRALL,"12,5500","-0,48","12,6400","12,4800",109.796,"1.377,05",09/04/2021,13:54:32,2.246.038
AMADEUS,"59,3000","-1,95","60,4200","59,3000",137.904,"8.251,93",09/04/2021,13:59:14,27.246.192
ARCELORMIT.,"24,4850","0,45","24,6050","24,1400",117.938,"2.872,49",09/04/2021,13:59:46,26.880.988
B.SANTANDER,"2,9350","0,44","2,9410","2,8860",17.499.135,"51.069,89",09/04/2021,14:00:46,50.669.354
BA.SABADELL,"0,4600","-0,15","0,4644","0,4512",14.515.226,"6.627,38",09/04/2021,14:00:10,2.592.343
BANKINTER,"5,8900","0,24","5,8960","5,8280",414.022,"2.426,66",09/04/2021,14:00:10,5.281.738
BBVA,"4,4905","-1,06","4,5620","4,4360",7.982.536,"35.789,03",09/04/2021,14:00:10,30.262.203
CAIXABANK,"2,5920","0,50","2,5960","2,5560",2.674.321,"6.887,44",09/04/2021,14:00:10,20.788.409
CELLNEX,"41,9600","-0,10","42,3200","41,7200",1.211.052,"50.881,78",09/04/2021,14:00:43,20.441.764
CIE AUTOMOT.,"21,8200","-2,50","22,3800","21,7600",85.485,"1.876,88",09/04/2021,13:50:27,2.742.669
ENAGAS,"18,7600","0,56","18,7700","18,4900",242.220,"4.506,00",09/04/2021,13:59:33,4.887.425
ENDESA,"22,7300","-1,00","23,0000","22,7300",252.475,"5.783,25",09/04/2021,13:58:52,24.308.949
FERROVIAL,"22,4400","0,18","22,4400","22,0700",146.187,"3.262,87",09/04/2021,14:00:45,16.417.013
FLUIDRA,"25,4500","1,39","25,8500","25,1000",255.933,"6.508,42",09/04/2021,13:59:02,4.910.290
GRIFOLS CL.A,"23,5100","0,51","23,5200","23,1700",245.425,"5.738,90",09/04/2021,13:58:50,9.967.176
IAG,"2,4630","-0,81","2,4990","2,4560",4.074.204,"10.087,68",09/04/2021,14:00:24,12.344.175
IBERDROLA,"11,5400","0,04","11,5900","11,4650",4.530.767,"52.355,46",09/04/2021,14:00:43,74.033.429
INDITEX,"27,7100","-0,72","27,8800","27,5700",495.848,"13.737,49",09/04/2021,14:00:10,86.985.757
INDRA A,"7,4900","0,54","7,5100","7,3950",558.095,"4.160,52",09/04/2021,14:00:34,1.316.075
INM.COLONIAL,"8,1950","-0,73","8,2650","8,1500",69.232,"568,61",09/04/2021,13:58:48,4.194.488
MAPFRE,"1,7815","-0,72","1,7990","1,7735",1.832.027,"3.263,14",09/04/2021,13:59:54,5.526.258
MELIA HOTELS,"6,4800","-1,07","6,5960","6,4720",328.510,"2.144,41",09/04/2021,13:58:41,1.443.620
MERLIN,"8,9720","-1,17","9,0720","8,9320",185.043,"1.665,32",09/04/2021,13:58:57,4.264.579
NATURGY,"20,8700","-0,71","21,0200","20,8100",60.464,"1.262,24",09/04/2021,13:59:37,20.381.282
PHARMA MAR,"95,2600","-2,00","97,7200","95,0000",36.492,"3.516,93",09/04/2021,14:00:38,1.784.097
R.E.C.,"15,2050","-0,30","15,2300","15,0800",250.484,"3.793,20",09/04/2021,14:00:01,8.251.470
REPSOL,"10,1960","-0,10","10,2540","10,1400",1.410.548,"14.381,03",09/04/2021,14:00:02,16.001.891
SIEMENS GAME,"31,1700","-0,70","31,4700","30,9100",243.617,"7.588,79",09/04/2021,13:59:59,21.381.091
SOLARIA,"17,9950","-3,36","18,6350","17,7650",704.745,"12.674,19",09/04/2021,14:00:43,2.326.585
TELEFONICA,"3,8195","0,04","3,8400","3,7825",3.629.962,"13.807,44",09/04/2021,14:00:42,21.099.914
VISCOFAN,"60,2500","0,17","60,4500","59,7000",24.642,"1.478,55",09/04/2021,13:56:41,2.796.975
