Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"139,7000","-0,78","141,2000","139,4000",35.720,"5.007,52",09/04/2021,16:00:54,7.723.817
ACERINOX,"11,4300","1,24","11,4800","11,2350",507.007,"5.772,06",09/04/2021,16:01:40,3.054.467
ACS,"27,5600","-0,97","27,9800","27,5400",457.463,"12.752,32",09/04/2021,16:01:40,8.645.796
AENA,"138,7500","-0,82","140,4000","138,7500",72.381,"10.117,22",09/04/2021,16:00:51,20.985.000
ALMIRALL,"12,5100","-0,79","12,6400","12,4800",129.852,"1.628,20",09/04/2021,15:55:43,2.246.038
AMADEUS,"59,2800","-1,98","60,4200","59,1200",177.543,"10.601,80",09/04/2021,16:01:32,27.246.192
ARCELORMIT.,"24,3750","0,00","24,6050","24,1400",190.923,"4.653,34",09/04/2021,16:00:52,26.880.988
B.SANTANDER,"2,9070","-0,51","2,9410","2,8860",20.429.469,"59.627,23",09/04/2021,16:01:37,50.669.354
BA.SABADELL,"0,4605","-0,04","0,4644","0,4512",22.364.738,"10.238,30",09/04/2021,16:01:01,2.592.343
BANKINTER,"5,8400","-0,61","5,8960","5,8280",502.732,"2.946,10",09/04/2021,16:01:27,5.281.738
BBVA,"4,4535","-1,87","4,5620","4,4360",9.339.461,"41.847,07",09/04/2021,16:01:38,30.262.203
CAIXABANK,"2,5830","0,16","2,5980","2,5560",3.735.271,"9.635,15",09/04/2021,16:01:29,20.788.409
CELLNEX,"42,0600","0,14","42,3200","41,7200",1.560.159,"65.559,15",09/04/2021,16:01:40,20.441.764
CIE AUTOMOT.,"21,7600","-2,77","22,3800","21,7000",115.538,"2.531,28",09/04/2021,15:50:53,2.742.669
ENAGAS,"18,6600","0,03","18,7700","18,4900",301.287,"5.612,70",09/04/2021,16:00:43,4.887.425
ENDESA,"22,6600","-1,31","23,0000","22,6600",306.831,"7.017,27",09/04/2021,15:59:05,24.308.949
FERROVIAL,"22,3100","-0,40","22,4400","22,0700",223.013,"4.980,13",09/04/2021,15:56:57,16.417.013
FLUIDRA,"25,3000","0,80","25,8500","25,1000",276.899,"7.041,71",09/04/2021,15:54:42,4.910.290
GRIFOLS CL.A,"23,4700","0,34","23,5600","23,1700",334.521,"7.828,90",09/04/2021,16:01:40,9.967.176
IAG,"2,4460","-1,49","2,4990","2,4360",6.600.686,"16.268,79",09/04/2021,16:01:36,12.344.175
IBERDROLA,"11,5300","-0,04","11,5900","11,4650",6.003.876,"69.391,31",09/04/2021,15:59:59,74.033.429
INDITEX,"27,8000","-0,39","27,9200","27,5700",671.265,"18.613,45",09/04/2021,16:01:36,86.985.757
INDRA A,"7,4550","0,07","7,5100","7,3950",605.033,"4.511,61",09/04/2021,15:53:27,1.316.075
INM.COLONIAL,"8,1400","-1,39","8,2650","8,1300",85.800,"703,58",09/04/2021,15:54:59,4.194.488
MAPFRE,"1,7760","-1,03","1,7990","1,7735",2.088.877,"3.720,13",09/04/2021,15:56:31,5.526.258
MELIA HOTELS,"6,4660","-1,28","6,5960","6,4520",429.771,"2.799,24",09/04/2021,16:01:17,1.443.620
MERLIN,"8,9080","-1,87","9,0720","8,8820",237.530,"2.133,63",09/04/2021,16:01:34,4.264.579
NATURGY,"20,8800","-0,67","21,0200","20,8100",81.739,"1.706,59",09/04/2021,16:01:03,20.381.282
PHARMA MAR,"94,8800","-2,39","97,7200","94,5800",63.107,"6.046,73",09/04/2021,16:00:01,1.784.097
R.E.C.,"15,0750","-1,15","15,2300","15,0750",711.112,"10.796,77",09/04/2021,16:01:25,8.251.470
REPSOL,"10,1800","-0,25","10,2540","10,1400",1.713.018,"17.466,18",09/04/2021,16:01:36,16.001.891
SIEMENS GAME,"31,0300","-1,15","31,4700","30,8800",320.613,"9.977,42",09/04/2021,16:01:41,21.381.091
SOLARIA,"17,9200","-3,76","18,6350","17,7650",888.257,"15.973,94",09/04/2021,16:01:41,2.326.585
TELEFONICA,"3,7980","-0,52","3,8400","3,7825",4.346.608,"16.533,97",09/04/2021,16:01:42,21.099.914
VISCOFAN,"60,0500","-0,17","60,4500","59,7000",32.113,"1.927,19",09/04/2021,16:01:00,2.796.975
