Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
IAG,"2,4970","0,56","2,4970","2,4560",1.593.067,"3.947,44",09/04/2021,09:58:13,12.344.175
IBERDROLA,"11,5000","-0,30","11,5900","11,4750",849.658,"9.802,90",09/04/2021,09:58:29,74.033.429
INDITEX,"27,6600","-0,90","27,7800","27,5700",204.591,"5.657,90",09/04/2021,09:58:12,86.985.757
INDRA A,"7,4500","0,00","7,5100","7,4300",138.362,"1.032,29",09/04/2021,09:58:04,1.316.075
INM.COLONIAL,"8,2500","-0,06","8,2550","8,1650",28.363,"233,28",09/04/2021,09:57:48,4.194.488
MAPFRE,"1,7860","-0,47","1,7990","1,7780",774.482,"1.382,23",09/04/2021,09:57:33,5.526.258
MELIA HOTELS,"6,5880","0,58","6,5960","6,5360",92.064,"604,47",09/04/2021,09:55:31,1.443.620
MERLIN,"9,0380","-0,44","9,0720","8,9320",45.791,"411,50",09/04/2021,09:57:57,4.264.579
NATURGY,"20,8500","-0,81","21,0200","20,8200",16.872,"352,87",09/04/2021,09:57:42,20.381.282
PHARMA MAR,"96,1600","-1,07","97,7200","96,0600",17.122,"1.658,92",09/04/2021,09:58:18,1.784.097
R.E.C.,"15,1000","-0,98","15,2300","15,0800",129.101,"1.954,91",09/04/2021,09:56:45,8.251.470
REPSOL,"10,2220","0,16","10,2540","10,1740",564.053,"5.760,12",09/04/2021,09:58:22,16.001.891
SIEMENS GAME,"31,1900","-0,64","31,4700","30,9600",88.568,"2.763,38",09/04/2021,09:58:11,21.381.091
SOLARIA,"18,1600","-2,47","18,6350","18,0700",163.878,"2.995,90",09/04/2021,09:57:42,2.326.585
TELEFONICA,"3,7930","-0,65","3,8400","3,7875",1.186.616,"4.530,01",09/04/2021,09:58:30,21.099.914
VISCOFAN,"60,0000","-0,25","60,2000","59,7000",5.479,"328,35",09/04/2021,09:51:50,2.796.975
ACCIONA,"139,9000","-0,64","141,2000","139,6000",4.856,"681,09",09/04/2021,10:14:07,7.723.817
ACERINOX,"11,3600","0,62","11,3600","11,2350",113.297,"1.280,47",09/04/2021,10:15:02,3.054.467
ACS,"27,6000","-0,83","27,9800","27,5800",45.792,"1.271,78",09/04/2021,10:15:12,8.645.796
AENA,"139,8500","-0,04","140,3500","139,3000",33.929,"4.742,15",09/04/2021,10:14:31,20.985.000
ALMIRALL,"12,5100","-0,79","12,6400","12,5000",49.363,"620,04",09/04/2021,10:15:05,2.246.038
AMADEUS,"59,7000","-1,29","60,4200","59,6200",50.271,"3.014,00",09/04/2021,10:14:58,27.246.192
ARCELORMIT.,"24,2750","-0,41","24,4550","24,1900",37.344,"906,83",09/04/2021,10:15:04,26.880.988
B.SANTANDER,"2,8990","-0,79","2,9410","2,8985",3.784.955,"11.059,23",09/04/2021,10:15:13,50.669.354
BA.SABADELL,"0,4546","-1,32","0,4644","0,4544",5.608.032,"2.568,20",09/04/2021,10:14:10,2.592.343
BANKINTER,"5,8440","-0,54","5,8960","5,8320",163.242,"956,80",09/04/2021,10:15:15,5.281.738
BBVA,"4,4655","-1,61","4,5620","4,4600",1.271.108,"5.733,87",09/04/2021,10:14:27,30.262.203
CAIXABANK,"2,5600","-0,74","2,5930","2,5570",978.484,"2.518,84",09/04/2021,10:14:11,20.788.409
CELLNEX,"41,9800","-0,05","42,1700","41,7200",391.144,"16.400,97",09/04/2021,10:15:16,20.441.764
CIE AUTOMOT.,"22,0600","-1,43","22,3800","22,0200",11.643,"258,12",09/04/2021,10:05:20,2.742.669
ENAGAS,"18,5100","-0,78","18,6950","18,4900",130.649,"2.428,18",09/04/2021,10:14:48,4.887.425
ENDESA,"22,7800","-0,78","23,0000","22,7500",65.847,"1.506,31",09/04/2021,10:13:53,24.308.949
FERROVIAL,"22,3500","-0,22","22,4300","22,0700",54.135,"1.205,52",09/04/2021,10:13:56,16.417.013
FLUIDRA,"25,5500","1,79","25,6000","25,1000",128.395,"3.252,41",09/04/2021,10:13:56,4.910.290
GRIFOLS CL.A,"23,4200","0,13","23,5100","23,1700",80.095,"1.871,05",09/04/2021,10:14:50,9.967.176
IAG,"2,4770","-0,24","2,4990","2,4560",1.909.044,"4.732,32",09/04/2021,10:15:06,12.344.175
IBERDROLA,"11,4750","-0,52","11,5900","11,4750",943.537,"10.883,21",09/04/2021,10:15:07,74.033.429
INDITEX,"27,6300","-1,00","27,7800","27,5700",225.756,"6.242,69",09/04/2021,10:14:54,86.985.757
INDRA A,"7,4400","-0,13","7,5100","7,3950",218.111,"1.624,12",09/04/2021,10:13:56,1.316.075
INM.COLONIAL,"8,2250","-0,36","8,2650","8,1650",37.023,"304,67",09/04/2021,10:13:34,4.194.488
MAPFRE,"1,7800","-0,81","1,7990","1,7780",924.275,"1.649,13",09/04/2021,10:14:52,5.526.258
MELIA HOTELS,"6,5200","-0,46","6,5960","6,5140",119.367,"782,97",09/04/2021,10:14:59,1.443.620
MERLIN,"9,0460","-0,35","9,0720","8,9320",80.147,"722,31",09/04/2021,10:13:55,4.264.579
NATURGY,"20,8300","-0,90","21,0200","20,8200",21.362,"446,44",09/04/2021,10:14:22,20.381.282
PHARMA MAR,"96,3600","-0,86","97,7200","96,0600",18.040,"1.747,31",09/04/2021,10:14:32,1.784.097
R.E.C.,"15,1050","-0,95","15,2300","15,0800",148.823,"2.253,07",09/04/2021,10:13:53,8.251.470
REPSOL,"10,1860","-0,20","10,2540","10,1740",637.842,"6.512,76",09/04/2021,10:14:13,16.001.891
SIEMENS GAME,"31,1800","-0,67","31,4700","30,9600",134.691,"4.200,46",09/04/2021,10:15:00,
SOLARIA,"18,0100","-3,28","18,6350","18,0100",227.203,"4.141,74",09/04/2021,10:15:00,2.326.585
TELEFONICA,"3,7840","-0,89","3,8400","3,7825",1.416.990,"5.402,57",09/04/2021,10:14:10,21.099.914
VISCOFAN,"60,0500","-0,17","60,2000","59,7000",8.245,"494,30",09/04/2021,10:14:01,2.796.975
ACCIONA,"140,0000","-0,57","141,2000","139,6000",6.412,"899,00",09/04/2021,10:32:24,7.723.817
ACERINOX,"11,3750","0,75","11,3900","11,2350",155.310,"1.757,77",09/04/2021,10:32:15,3.054.467
ACS,"27,7500","-0,29","27,9800","27,5800",49.890,"1.385,03",09/04/2021,10:32:53,8.645.796
AENA,"140,2500","0,25","140,4000","139,3000",44.785,"6.260,91",09/04/2021,10:32:21,20.985.000
ALMIRALL,"12,5600","-0,40","12,6400","12,5000",58.307,"732,29",09/04/2021,10:29:19,2.246.038
AMADEUS,"59,8200","-1,09","60,4200","59,6200",55.081,"3.301,40",09/04/2021,10:32:52,27.246.192
ARCELORMIT.,"24,1900","-0,76","24,4550","24,1400",57.192,"1.387,39",09/04/2021,10:32:50,26.880.988
B.SANTANDER,"2,9015","-0,70","2,9410","2,8960",4.194.133,"12.246,23",09/04/2021,10:32:51,50.669.354
BA.SABADELL,"0,4563","-0,96","0,4644","0,4541",7.986.510,"3.652,09",09/04/2021,10:31:20,2.592.343
BANKINTER,"5,8600","-0,27","5,8960","5,8320",201.402,"1.180,17",09/04/2021,10:32:59,5.281.738
BBVA,"4,4655","-1,61","4,5620","4,4580",1.616.451,"7.275,59",09/04/2021,10:32:51,30.262.203
CAIXABANK,"2,5600","-0,74","2,5930","2,5560",1.106.083,"2.845,32",09/04/2021,10:32:51,20.788.409
CELLNEX,"42,0700","0,17","42,1700","41,7200",441.512,"18.518,13",09/04/2021,10:32:48,20.441.764
CIE AUTOMOT.,"21,9000","-2,14","22,3800","21,9000",28.108,"619,87",09/04/2021,10:28:38,2.742.669
ENAGAS,"18,5200","-0,72","18,6950","18,4900",135.158,"2.511,69",09/04/2021,10:32:28,4.887.425
ENDESA,"22,8300","-0,57","23,0000","22,7500",69.749,"1.595,28",09/04/2021,10:32:21,24.308.949
FERROVIAL,"22,3000","-0,45","22,4300","22,0700",68.779,"1.531,86",09/04/2021,10:30:08,16.417.013
FLUIDRA,"25,6000","1,99","25,6000","25,1000",131.306,"3.326,80",09/04/2021,10:28:37,4.910.290
GRIFOLS CL.A,"23,4200","0,13","23,5100","23,1700",90.384,"2.112,03",09/04/2021,10:32:40,9.967.176
IAG,"2,4870","0,16","2,4990","2,4560",2.092.104,"5.186,83",09/04/2021,10:32:46,12.344.175
IBERDROLA,"11,5150","-0,17","11,5900","11,4650",1.052.335,"12.133,85",09/04/2021,10:32:21,74.033.429
INDITEX,"27,6700","-0,86","27,7800","27,5700",240.380,"6.647,13",09/04/2021,10:31:39,86.985.757
INDRA A,"7,4300","-0,27","7,5100","7,3950",293.214,"2.182,22",09/04/2021,10:32:11,1.316.075
INM.COLONIAL,"8,2300","-0,30","8,2650","8,1650",40.270,"331,37",09/04/2021,10:32:45,4.194.488
MAPFRE,"1,7805","-0,78","1,7990","1,7770",1.032.673,"1.841,99",09/04/2021,10:32:58,5.526.258
MELIA HOTELS,"6,5220","-0,43","6,5960","6,5000",147.222,"964,41",09/04/2021,10:30:13,1.443.620
MERLIN,"9,0400","-0,42","9,0720","8,9320",86.423,"779,02",09/04/2021,10:32:41,4.264.579
NATURGY,"20,8600","-0,76","21,0200","20,8100",27.657,"577,68",09/04/2021,10:31:29,20.381.282
PHARMA MAR,"95,9200","-1,32","97,7200","95,7600",21.827,"2.111,12",09/04/2021,10:31:41,1.784.097
R.E.C.,"15,1250","-0,82","15,2300","15,0800",159.044,"2.407,65",09/04/2021,10:29:07,8.251.470
REPSOL,"10,1540","-0,51","10,2540","10,1400",743.776,"7.588,48",09/04/2021,10:32:55,16.001.891
SIEMENS GAME,"31,0000","-1,24","31,4700","30,9600",144.925,"4.518,86",09/04/2021,10:32:22,21.381.091
