Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"140,3000","-0,36","141,2000","139,4000",29.573,"4.147,25",09/04/2021,14:49:42,7.723.817
ACERINOX,"11,4150","1,11","11,4800","11,2350",462.319,"5.261,01",09/04/2021,14:51:40,3.054.467
ACS,"27,5700","-0,93","27,9800","27,5600",440.326,"12.279,79",09/04/2021,14:51:59,8.645.796
AENA,"139,5000","-0,29","140,4000","139,3000",63.141,"8.827,96",09/04/2021,14:52:31,20.985.000
ALMIRALL,"12,5100","-0,79","12,6400","12,4800",118.373,"1.484,42",09/04/2021,14:50:42,2.246.038
AMADEUS,"59,3400","-1,88","60,4200","59,2000",153.831,"9.196,67",09/04/2021,14:50:16,27.246.192
ARCELORMIT.,"24,3150","-0,25","24,6050","24,1400",128.533,"3.131,25",09/04/2021,14:52:11,26.880.988
B.SANTANDER,"2,9225","0,02","2,9410","2,8860",18.787.492,"54.842,77",09/04/2021,14:52:34,50.669.354
BA.SABADELL,"0,4600","-0,15","0,4644","0,4512",16.578.280,"7.575,57",09/04/2021,14:52:42,2.592.343
BANKINTER,"5,8580","-0,31","5,8960","5,8280",445.564,"2.611,65",09/04/2021,14:52:32,5.281.738
BBVA,"4,4690","-1,53","4,5620","4,4360",8.408.565,"37.695,23",09/04/2021,14:52:36,30.262.203
CAIXABANK,"2,5910","0,47","2,5980","2,5560",3.227.808,"8.321,19",09/04/2021,14:52:43,20.788.409
CELLNEX,"42,0500","0,12","42,3200","41,7200",1.350.109,"56.724,86",09/04/2021,14:52:36,20.441.764
CIE AUTOMOT.,"21,7400","-2,86","22,3800","21,7400",96.160,"2.109,18",09/04/2021,14:48:15,2.742.669
ENAGAS,"18,7500","0,51","18,7700","18,4900",265.046,"4.933,79",09/04/2021,14:51:20,4.887.425
ENDESA,"22,7000","-1,13","23,0000","22,7000",278.853,"6.382,50",09/04/2021,14:51:29,24.308.949
FERROVIAL,"22,3900","-0,04","22,4400","22,0700",171.511,"3.830,25",09/04/2021,14:51:59,16.417.013
FLUIDRA,"25,4000","1,20","25,8500","25,1000",271.022,"6.892,86",09/04/2021,14:49:55,4.910.290
GRIFOLS CL.A,"23,4600","0,30","23,5200","23,1700",269.392,"6.301,16",09/04/2021,14:52:14,9.967.176
IAG,"2,4470","-1,45","2,4990","2,4470",4.978.391,"12.305,74",09/04/2021,14:52:16,12.344.175
IBERDROLA,"11,5450","0,09","11,5900","11,4650",5.675.265,"65.599,73",09/04/2021,14:51:58,74.033.429
INDITEX,"27,7500","-0,57","27,8800","27,5700",540.794,"14.984,51",09/04/2021,14:52:31,86.985.757
INDRA A,"7,4700","0,27","7,5100","7,3950",582.276,"4.341,67",09/04/2021,14:51:38,1.316.075
INM.COLONIAL,"8,1450","-1,33","8,2650","8,1450",73.458,"603,12",09/04/2021,14:49:42,4.194.488
MAPFRE,"1,7785","-0,89","1,7990","1,7735",1.949.807,"3.472,72",09/04/2021,14:51:59,5.526.258
MELIA HOTELS,"6,4600","-1,37","6,5960","6,4600",363.020,"2.367,94",09/04/2021,14:51:22,1.443.620
MERLIN,"8,9320","-1,61","9,0720","8,9320",201.046,"1.808,73",09/04/2021,14:51:58,4.264.579
NATURGY,"20,8800","-0,67","21,0200","20,8100",69.161,"1.443,88",09/04/2021,14:50:05,20.381.282
PHARMA MAR,"95,1000","-2,16","97,7200","94,5800",49.052,"4.709,14",09/04/2021,14:52:21,1.784.097
R.E.C.,"15,1700","-0,52","15,2300","15,0800",664.732,"10.095,58",09/04/2021,14:50:13,8.251.470
REPSOL,"10,2060","0,00","10,2540","10,1400",1.517.879,"15.475,77",09/04/2021,14:51:52,16.001.891
SIEMENS GAME,"30,9400","-1,43","31,4700","30,9100",279.525,"8.703,59",09/04/2021,14:52:28,21.381.091
SOLARIA,"17,8650","-4,05","18,6350","17,7650",823.801,"14.818,88",09/04/2021,14:52:30,2.326.585
TELEFONICA,"3,8015","-0,43","3,8400","3,7825",3.907.393,"14.863,76",09/04/2021,14:52:29,21.099.914
VISCOFAN,"60,0000","-0,25","60,4500","59,7000",29.976,"1.798,84",09/04/2021,14:50:17,2.796.975
