Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"140,3000","-0,36","141,2000","139,4000",27.385,"3.839,93",09/04/2021,14:12:32,7.723.817
ACERINOX,"11,4450","1,37","11,4800","11,2350",437.367,"4.976,34",09/04/2021,14:18:20,3.054.467
ACS,"27,7000","-0,47","27,9800","27,5700",113.380,"3.144,69",09/04/2021,14:16:18,8.645.796
AENA,"139,7500","-0,11","140,4000","139,3000",55.354,"7.740,36",09/04/2021,14:11:15,20.985.000
ALMIRALL,"12,5100","-0,79","12,6400","12,4800",112.921,"1.416,19",09/04/2021,14:14:55,2.246.038
AMADEUS,"59,2400","-2,05","60,4200","59,2000",146.229,"8.745,35",09/04/2021,14:18:03,27.246.192
ARCELORMIT.,"24,4550","0,33","24,6050","24,1400",122.966,"2.995,59",09/04/2021,14:14:50,26.880.988
B.SANTANDER,"2,9250","0,10","2,9410","2,8860",17.952.690,"52.399,36",09/04/2021,14:18:22,50.669.354
BA.SABADELL,"0,4593","-0,30","0,4644","0,4512",15.039.610,"6.868,17",09/04/2021,14:16:09,2.592.343
BANKINTER,"5,8600","-0,27","5,8960","5,8280",418.623,"2.453,74",09/04/2021,14:15:52,5.281.738
BBVA,"4,4690","-1,53","4,5620","4,4360",8.197.623,"36.752,56",09/04/2021,14:18:04,30.262.203
CAIXABANK,"2,5880","0,35","2,5980","2,5560",2.883.798,"7.429,94",09/04/2021,14:17:11,20.788.409
CELLNEX,"41,9700","-0,07","42,3200","41,7200",1.268.436,"53.293,36",09/04/2021,14:18:10,20.441.764
CIE AUTOMOT.,"21,7800","-2,68","22,3800","21,7400",91.284,"2.003,13",09/04/2021,14:14:00,2.742.669
ENAGAS,"18,7250","0,38","18,7700","18,4900",245.495,"4.567,42",09/04/2021,14:12:42,4.887.425
ENDESA,"22,7000","-1,13","23,0000","22,7000",261.088,"5.978,94",09/04/2021,14:16:49,24.308.949
FERROVIAL,"22,4200","0,09","22,4400","22,0700",161.092,"3.596,82",09/04/2021,14:18:00,16.417.013
FLUIDRA,"25,6000","1,99","25,8500","25,1000",266.389,"6.775,02",09/04/2021,14:14:00,4.910.290
GRIFOLS CL.A,"23,4600","0,30","23,5200","23,1700",250.983,"5.869,39",09/04/2021,14:16:55,9.967.176
IAG,"2,4550","-1,13","2,4990","2,4530",4.278.970,"10.590,68",09/04/2021,14:17:41,12.344.175
IBERDROLA,"11,5300","-0,04","11,5900","11,4650",4.610.910,"53.280,20",09/04/2021,14:16:16,74.033.429
INDITEX,"27,7100","-0,72","27,8800","27,5700",509.341,"14.111,37",09/04/2021,14:17:11,86.985.757
INDRA A,"7,4900","0,54","7,5100","7,3950",561.558,"4.186,47",09/04/2021,14:09:59,1.316.075
INM.COLONIAL,"8,1700","-1,03","8,2650","8,1500",70.097,"575,68",09/04/2021,14:14:55,4.194.488
MAPFRE,"1,7785","-0,89","1,7990","1,7735",1.867.038,"3.325,46",09/04/2021,14:14:17,5.526.258
MELIA HOTELS,"6,4700","-1,22","6,5960","6,4660",335.103,"2.187,08",09/04/2021,14:17:34,1.443.620
MERLIN,"8,9620","-1,28","9,0720","8,9320",190.060,"1.710,28",09/04/2021,14:16:18,4.264.579
NATURGY,"20,8800","-0,67","21,0200","20,8100",62.703,"1.308,99",09/04/2021,14:14:32,20.381.282
PHARMA MAR,"94,8200","-2,45","97,7200","94,8200",41.179,"3.962,56",09/04/2021,14:18:06,1.784.097
R.E.C.,"15,1900","-0,39","15,2300","15,0800",254.053,"3.847,45",09/04/2021,14:12:21,8.251.470
REPSOL,"10,1820","-0,24","10,2540","10,1400",1.443.620,"14.718,20",09/04/2021,14:17:38,16.001.891
SIEMENS GAME,"31,1300","-0,83","31,4700","30,9100",247.810,"7.719,38",09/04/2021,14:15:46,21.381.091
SOLARIA,"18,1100","-2,74","18,6350","17,7650",765.373,"13.769,46",09/04/2021,14:17:56,2.326.585
TELEFONICA,"3,8015","-0,43","3,8400","3,7825",3.738.084,"14.219,35",09/04/2021,14:17:17,21.099.914
VISCOFAN,"59,9500","-0,33","60,4500","59,7000",28.098,"1.686,24",09/04/2021,14:17:49,2.796.975
