Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"139,9000","-0,64","141,2000","139,4000",36.392,"5.101,48",09/04/2021,16:18:55,7.723.817
ACERINOX,"11,4200","1,15","11,4800","11,2350",512.635,"5.836,34",09/04/2021,16:18:29,3.054.467
ACS,"27,5500","-1,01","27,9800","27,5400",460.290,"12.830,24",09/04/2021,16:15:10,8.645.796
AENA,"138,5000","-1,00","140,4000","138,5000",74.390,"10.395,89",09/04/2021,16:19:02,20.985.000
ALMIRALL,"12,5300","-0,63","12,6400","12,4800",135.054,"1.693,38",09/04/2021,16:19:00,2.246.038
AMADEUS,"59,1400","-2,22","60,4200","59,1200",182.808,"10.913,43",09/04/2021,16:18:52,27.246.192
ARCELORMIT.,"24,4150","0,16","24,6050","24,1400",194.155,"4.732,14",09/04/2021,16:18:17,26.880.988
B.SANTANDER,"2,8965","-0,87","2,9410","2,8860",20.994.083,"61.265,25",09/04/2021,16:18:45,50.669.354
BA.SABADELL,"0,4580","-0,59","0,4644","0,4512",24.108.456,"11.038,97",09/04/2021,16:18:37,2.592.343
BANKINTER,"5,8500","-0,44","5,8960","5,8280",534.496,"3.131,74",09/04/2021,16:19:05,5.281.738
BBVA,"4,4395","-2,18","4,5620","4,4360",9.647.687,"43.216,54",09/04/2021,16:18:33,30.262.203
CAIXABANK,"2,5770","-0,08","2,5980","2,5560",4.018.516,"10.365,81",09/04/2021,16:19:07,20.788.409
CELLNEX,"42,1300","0,31","42,3200","41,7200",1.643.965,"69.083,90",09/04/2021,16:19:04,20.441.764
CIE AUTOMOT.,"21,7600","-2,77","22,3800","21,7000",116.555,"2.553,39",09/04/2021,16:16:48,2.742.669
ENAGAS,"18,6650","0,05","18,7700","18,4900",313.304,"5.836,96",09/04/2021,16:18:46,4.887.425
ENDESA,"22,7200","-1,05","23,0000","22,6500",315.797,"7.220,79",09/04/2021,16:19:01,24.308.949
FERROVIAL,"22,3000","-0,45","22,4400","22,0700",229.668,"5.128,52",09/04/2021,16:17:44,16.417.013
FLUIDRA,"25,2500","0,60","25,8500","25,1000",279.912,"7.117,79",09/04/2021,16:10:39,4.910.290
GRIFOLS CL.A,"23,4500","0,26","23,5600","23,1700",354.586,"8.299,97",09/04/2021,16:18:55,9.967.176
IAG,"2,4430","-1,61","2,4990","2,4360",6.859.235,"16.899,98",09/04/2021,16:18:56,12.344.175
IBERDROLA,"11,5450","0,09","11,5900","11,4650",6.157.169,"71.159,95",09/04/2021,16:19:04,74.033.429
INDITEX,"27,7900","-0,43","27,9200","27,5700",686.992,"19.050,47",09/04/2021,16:18:30,86.985.757
INDRA A,"7,4550","0,07","7,5100","7,3950",612.610,"4.568,09",09/04/2021,16:17:08,1.316.075
INM.COLONIAL,"8,1550","-1,21","8,2650","8,1300",94.338,"773,14",09/04/2021,16:18:22,4.194.488
MAPFRE,"1,7740","-1,14","1,7990","1,7735",2.169.531,"3.863,26",09/04/2021,16:18:50,5.526.258
MELIA HOTELS,"6,4340","-1,77","6,5960","6,4340",481.742,"3.134,46",09/04/2021,16:17:09,1.443.620
MERLIN,"8,9180","-1,76","9,0720","8,8820",253.897,"2.279,50",09/04/2021,16:18:54,4.264.579
NATURGY,"20,9100","-0,52","21,0200","20,8100",89.278,"1.864,10",09/04/2021,16:18:52,20.381.282
PHARMA MAR,"95,0200","-2,24","97,7200","94,5800",65.837,"6.305,79",09/04/2021,16:17:17,1.784.097
R.E.C.,"15,1400","-0,72","15,2300","15,0750",724.996,"11.006,72",09/04/2021,16:19:06,8.251.470
REPSOL,"10,1320","-0,73","10,2540","10,1260",1.774.981,"18.094,62",09/04/2021,16:18:33,16.001.891
SIEMENS GAME,"31,0100","-1,21","31,4700","30,8800",336.359,"10.466,04",09/04/2021,16:18:47,21.381.091
SOLARIA,"17,9350","-3,68","18,6350","17,7650",912.653,"16.411,06",09/04/2021,16:19:07,2.326.585
TELEFONICA,"3,7940","-0,63","3,8400","3,7825",4.660.631,"17.726,32",09/04/2021,16:18:51,21.099.914
VISCOFAN,"60,0000","-0,25","60,4500","59,7000",32.295,"1.938,11",09/04/2021,16:11:13,2.796.975
