Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"140,3000","-0,36","141,2000","139,4000",17.385,"2.435,59",09/04/2021,12:32:13,7.723.817
ACERINOX,"11,4450","1,37","11,4500","11,2350",296.582,"3.367,58",09/04/2021,12:33:20,3.054.467
ACS,"27,7300","-0,36","27,9800","27,5700",80.971,"2.245,78",09/04/2021,12:32:13,8.645.796
AENA,"140,1000","0,14","140,4000","139,3000",50.816,"7.105,12",09/04/2021,12:32:42,20.985.000
ALMIRALL,"12,5200","-0,71","12,6400","12,4800",87.062,"1.092,24",09/04/2021,12:25:18,2.246.038
AMADEUS,"59,7000","-1,29","60,4200","59,6200",111.180,"6.661,93",09/04/2021,12:33:17,27.246.192
ARCELORMIT.,"24,5200","0,59","24,5250","24,1400",94.821,"2.304,75",09/04/2021,12:33:21,26.880.988
B.SANTANDER,"2,9085","-0,46","2,9410","2,8860",7.644.046,"22.242,31",09/04/2021,12:34:11,50.669.354
BA.SABADELL,"0,4562","-0,98","0,4644","0,4512",12.265.844,"5.597,25",09/04/2021,12:34:05,2.592.343
BANKINTER,"5,8520","-0,41","5,8960","5,8280",334.784,"1.960,94",09/04/2021,12:31:23,5.281.738
BBVA,"4,4635","-1,65","4,5620","4,4360",7.361.023,"33.002,48",09/04/2021,12:33:41,30.262.203
CAIXABANK,"2,5760","-0,12","2,5930","2,5560",1.845.049,"4.741,28",09/04/2021,12:33:52,20.788.409
CELLNEX,"42,0800","0,19","42,3200","41,7200",899.034,"37.780,47",09/04/2021,12:34:11,20.441.764
CIE AUTOMOT.,"21,8200","-2,50","22,3800","21,7600",74.085,"1.627,90",09/04/2021,12:33:55,2.742.669
ENAGAS,"18,6250","-0,16","18,6950","18,4900",187.770,"3.488,28",09/04/2021,12:34:15,4.887.425
ENDESA,"22,7800","-0,78","23,0000","22,7500",108.918,"2.488,41",09/04/2021,12:33:47,24.308.949
FERROVIAL,"22,3200","-0,36","22,4400","22,0700",122.081,"2.723,67",09/04/2021,12:32:57,16.417.013
FLUIDRA,"25,5000","1,59","25,8500","25,1000",185.479,"4.714,94",09/04/2021,12:32:39,4.910.290
GRIFOLS CL.A,"23,3700","-0,09","23,5100","23,1700",181.324,"4.237,89",09/04/2021,12:32:09,9.967.176
IAG,"2,4680","-0,60","2,4990","2,4560",3.110.956,"7.714,49",09/04/2021,12:32:49,12.344.175
IBERDROLA,"11,5300","-0,04","11,5900","11,4650",2.050.327,"23.643,87",09/04/2021,12:33:59,74.033.429
INDITEX,"27,8300","-0,29","27,8800","27,5700",437.176,"12.106,12",09/04/2021,12:34:06,86.985.757
INDRA A,"7,4600","0,13","7,5100","7,3950",434.043,"3.235,22",09/04/2021,12:30:16,1.316.075
INM.COLONIAL,"8,1650","-1,09","8,2650","8,1650",58.056,"477,29",09/04/2021,12:29:30,4.194.488
MAPFRE,"1,7755","-1,06","1,7990","1,7745",1.539.593,"2.743,18",09/04/2021,12:32:56,5.526.258
MELIA HOTELS,"6,5120","-0,58","6,5960","6,5000",270.043,"1.764,79",09/04/2021,12:33:04,1.443.620
MERLIN,"9,0040","-0,82","9,0720","8,9320",133.551,"1.203,21",09/04/2021,12:33:47,4.264.579
NATURGY,"20,8300","-0,90","21,0200","20,8100",49.607,"1.035,64",09/04/2021,12:29:18,20.381.282
PHARMA MAR,"96,2000","-1,03","97,7200","95,7000",30.198,"2.915,01",09/04/2021,12:33:38,1.784.097
R.E.C.,"15,1550","-0,62","15,2300","15,0800",213.454,"3.231,05",09/04/2021,12:33:11,8.251.470
REPSOL,"10,2020","-0,04","10,2540","10,1400",1.221.605,"12.450,64",09/04/2021,12:33:58,16.001.891
SIEMENS GAME,"31,1300","-0,83","31,4700","30,9100",206.278,"6.425,85",09/04/2021,12:31:00,21.381.091
SOLARIA,"17,8500","-4,14","18,6350","17,7650",592.163,"10.663,68",09/04/2021,12:33:38,2.326.585
TELEFONICA,"3,8040","-0,37","3,8400","3,7825",2.848.543,"10.834,47",09/04/2021,12:33:43,21.099.914
VISCOFAN,"59,8500","-0,50","60,2000","59,7000",18.180,"1.090,22",09/04/2021,12:28:13,2.796.975
