Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"140,6000","-0,14","141,2000","139,4000",28.567,"4.005,99",09/04/2021,14:30:37,7.723.817
ACERINOX,"11,4150","1,11","11,4800","11,2350",442.680,"5.037,05",09/04/2021,14:35:02,3.054.467
ACS,"27,6700","-0,57","27,9800","27,5700",117.921,"3.270,40",09/04/2021,14:33:45,8.645.796
AENA,"139,8500","-0,04","140,4000","139,3000",57.765,"8.077,08",09/04/2021,14:33:34,20.985.000
ALMIRALL,"12,5000","-0,87","12,6400","12,4800",112.931,"1.416,31",09/04/2021,14:23:33,2.246.038
AMADEUS,"59,3800","-1,82","60,4200","59,2000",149.511,"8.940,19",09/04/2021,14:35:15,27.246.192
ARCELORMIT.,"24,3700","-0,02","24,6050","24,1400",125.506,"3.057,59",09/04/2021,14:33:42,26.880.988
B.SANTANDER,"2,9320","0,34","2,9410","2,8860",18.249.403,"53.268,38",09/04/2021,14:35:02,50.669.354
BA.SABADELL,"0,4602","-0,11","0,4644","0,4512",15.555.831,"7.105,25",09/04/2021,14:34:39,2.592.343
BANKINTER,"5,8620","-0,24","5,8960","5,8280",433.835,"2.542,90",09/04/2021,14:35:16,5.281.738
BBVA,"4,4740","-1,42","4,5620","4,4360",8.291.101,"37.170,11",09/04/2021,14:35:14,30.262.203
CAIXABANK,"2,5920","0,50","2,5980","2,5560",3.054.277,"7.871,41",09/04/2021,14:35:04,20.788.409
CELLNEX,"41,9900","-0,02","42,3200","41,7200",1.310.028,"55.039,65",09/04/2021,14:35:03,20.441.764
CIE AUTOMOT.,"21,7800","-2,68","22,3800","21,7400",93.072,"2.042,04",09/04/2021,14:33:08,2.742.669
ENAGAS,"18,7200","0,35","18,7700","18,4900",248.818,"4.629,65",09/04/2021,14:29:52,4.887.425
ENDESA,"22,7200","-1,05","23,0000","22,7000",270.344,"6.189,17",09/04/2021,14:27:43,24.308.949
FERROVIAL,"22,4200","0,09","22,4400","22,0700",163.529,"3.651,48",09/04/2021,14:31:28,16.417.013
FLUIDRA,"25,4500","1,39","25,8500","25,1000",267.823,"6.811,60",09/04/2021,14:27:20,4.910.290
GRIFOLS CL.A,"23,4400","0,21","23,5200","23,1700",258.865,"6.054,25",09/04/2021,14:35:19,9.967.176
IAG,"2,4530","-1,21","2,4990","2,4510",4.587.117,"11.346,55",09/04/2021,14:34:54,12.344.175
IBERDROLA,"11,5650","0,26","11,5900","11,4650",4.710.040,"54.424,79",09/04/2021,14:34:59,74.033.429
INDITEX,"27,7900","-0,43","27,8800","27,5700",527.250,"14.608,59",09/04/2021,14:35:20,86.985.757
INDRA A,"7,4950","0,60","7,5100","7,3950",570.323,"4.252,19",09/04/2021,14:28:41,1.316.075
INM.COLONIAL,"8,1750","-0,97","8,2650","8,1500",70.747,"580,99",09/04/2021,14:31:33,4.194.488
MAPFRE,"1,7785","-0,89","1,7990","1,7735",1.889.478,"3.365,40",09/04/2021,14:30:49,5.526.258
MELIA HOTELS,"6,4900","-0,92","6,5960","6,4660",345.744,"2.256,05",09/04/2021,14:32:52,1.443.620
MERLIN,"8,9780","-1,10","9,0720","8,9320",195.516,"1.759,21",09/04/2021,14:34:53,4.264.579
NATURGY,"20,9000","-0,57","21,0200","20,8100",63.752,"1.330,90",09/04/2021,14:29:53,20.381.282
PHARMA MAR,"94,6000","-2,67","97,7200","94,6000",45.361,"4.358,85",09/04/2021,14:34:31,1.784.097
R.E.C.,"15,2050","-0,30","15,2300","15,0800",262.703,"3.978,90",09/04/2021,14:32:45,8.251.470
REPSOL,"10,2120","0,06","10,2540","10,1400",1.479.013,"15.078,93",09/04/2021,14:35:02,16.001.891
SIEMENS GAME,"31,0100","-1,21","31,4700","30,9100",258.041,"8.037,14",09/04/2021,14:34:26,21.381.091
SOLARIA,"17,9150","-3,79","18,6350","17,7650",797.472,"14.346,99",09/04/2021,14:34:41,2.326.585
TELEFONICA,"3,8125","-0,14","3,8400","3,7825",3.826.295,"14.555,15",09/04/2021,14:33:48,21.099.914
VISCOFAN,"59,9500","-0,33","60,4500","59,7000",29.814,"1.789,12",09/04/2021,14:33:46,2.796.975
