Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"140,5000","-0,21","141,2000","139,4000",19.322,"2.707,36",09/04/2021,13:04:02,7.723.817
ACERINOX,"11,4600","1,51","11,4700","11,2350",324.103,"3.682,81",09/04/2021,13:08:20,3.054.467
ACS,"27,7200","-0,40","27,9800","27,5700",88.259,"2.447,68",09/04/2021,13:08:15,8.645.796
AENA,"140,0000","0,07","140,4000","139,3000",52.941,"7.402,73",09/04/2021,13:08:28,20.985.000
ALMIRALL,"12,5200","-0,71","12,6400","12,4800",97.017,"1.216,68",09/04/2021,13:06:00,2.246.038
AMADEUS,"59,4400","-1,72","60,4200","59,4400",123.714,"7.408,55",09/04/2021,13:08:52,27.246.192
ARCELORMIT.,"24,5600","0,76","24,5950","24,1400",105.701,"2.571,88",09/04/2021,13:07:37,26.880.988
B.SANTANDER,"2,9225","0,02","2,9410","2,8860",8.314.803,"24.197,09",09/04/2021,13:08:41,50.669.354
BA.SABADELL,"0,4574","-0,72","0,4644","0,4512",13.394.115,"6.112,53",09/04/2021,13:09:00,2.592.343
BANKINTER,"5,8840","0,14","5,8960","5,8280",362.901,"2.125,83",09/04/2021,13:08:15,5.281.738
BBVA,"4,4780","-1,33","4,5620","4,4360",7.526.579,"33.742,30",09/04/2021,13:08:53,30.262.203
CAIXABANK,"2,5830","0,16","2,5930","2,5560",1.980.054,"5.089,20",09/04/2021,13:08:49,20.788.409
CELLNEX,"42,0600","0,14","42,3200","41,7200",980.309,"41.196,92",09/04/2021,13:08:54,20.441.764
CIE AUTOMOT.,"21,8000","-2,59","22,3800","21,7600",80.899,"1.776,77",09/04/2021,12:51:58,2.742.669
ENAGAS,"18,6700","0,08","18,6950","18,4900",212.956,"3.957,95",09/04/2021,13:08:29,4.887.425
ENDESA,"22,7500","-0,91","23,0000","22,7500",125.556,"2.867,15",09/04/2021,13:06:03,24.308.949
FERROVIAL,"22,3200","-0,36","22,4400","22,0700",130.145,"2.903,66",09/04/2021,13:03:08,16.417.013
FLUIDRA,"25,5000","1,59","25,8500","25,1000",191.633,"4.871,67",09/04/2021,13:07:22,4.910.290
GRIFOLS CL.A,"23,4000","0,04","23,5100","23,1700",202.404,"4.731,35",09/04/2021,13:08:47,9.967.176
IAG,"2,4650","-0,72","2,4990","2,4560",3.492.068,"8.654,51",09/04/2021,13:07:47,12.344.175
IBERDROLA,"11,5400","0,04","11,5900","11,4650",2.201.506,"25.388,50",09/04/2021,13:07:46,74.033.429
INDITEX,"27,8700","-0,14","27,8800","27,5700",457.659,"12.676,20",09/04/2021,13:05:02,86.985.757
INDRA A,"7,4600","0,13","7,5100","7,3950",445.739,"3.322,39",09/04/2021,13:07:21,1.316.075
INM.COLONIAL,"8,1600","-1,15","8,2650","8,1500",62.791,"515,92",09/04/2021,13:03:30,4.194.488
MAPFRE,"1,7805","-0,78","1,7990","1,7735",1.702.792,"3.032,90",09/04/2021,13:08:29,5.526.258
MELIA HOTELS,"6,4900","-0,92","6,5960","6,4900",299.266,"1.954,72",09/04/2021,13:08:01,1.443.620
MERLIN,"8,9660","-1,23","9,0720","8,9320",166.972,"1.503,27",09/04/2021,13:08:59,4.264.579
NATURGY,"20,8300","-0,90","21,0200","20,8100",55.052,"1.149,29",09/04/2021,13:08:24,20.381.282
PHARMA MAR,"95,9200","-1,32","97,7200","95,7000",32.067,"3.094,53",09/04/2021,13:06:21,1.784.097
R.E.C.,"15,1650","-0,56","15,2300","15,0800",223.386,"3.381,69",09/04/2021,13:07:30,8.251.470
REPSOL,"10,2240","0,18","10,2540","10,1400",1.287.832,"13.127,32",09/04/2021,13:08:28,16.001.891
SIEMENS GAME,"31,1600","-0,73","31,4700","30,9100",216.196,"6.734,68",09/04/2021,13:08:58,21.381.091
SOLARIA,"17,8500","-4,14","18,6350","17,7650",636.339,"11.451,27",09/04/2021,13:08:34,2.326.585
TELEFONICA,"3,7975","-0,54","3,8400","3,7825",3.116.895,"11.853,73",09/04/2021,13:08:29,21.099.914
VISCOFAN,"59,8000","-0,58","60,2000","59,7000",18.459,"1.106,92",09/04/2021,12:51:06,2.796.975
