Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"140,4000","-0,28","141,2000","139,4000",16.143,"2.261,48",09/04/2021,12:15:13,7.723.817
ACERINOX,"11,4450","1,37","11,4500","11,2350",288.687,"3.277,29",09/04/2021,12:16:41,3.054.467
ACS,"27,7100","-0,43","27,9800","27,5700",78.058,"2.165,04",09/04/2021,12:16:32,8.645.796
AENA,"140,0000","0,07","140,4000","139,3000",50.090,"7.003,36",09/04/2021,12:16:46,20.985.000
ALMIRALL,"12,5100","-0,79","12,6400","12,4800",85.169,"1.068,55",09/04/2021,12:14:26,2.246.038
AMADEUS,"59,7000","-1,29","60,4200","59,6200",107.829,"6.461,95",09/04/2021,12:16:15,27.246.192
ARCELORMIT.,"24,4850","0,45","24,5100","24,1400",86.972,"2.112,35",09/04/2021,12:13:47,26.880.988
B.SANTANDER,"2,9010","-0,72","2,9410","2,8860",7.311.782,"21.276,24",09/04/2021,12:16:29,50.669.354
BA.SABADELL,"0,4557","-1,09","0,4644","0,4512",11.925.100,"5.441,77",09/04/2021,12:16:25,2.592.343
BANKINTER,"5,8440","-0,54","5,8960","5,8280",315.727,"1.849,29",09/04/2021,12:16:37,5.281.738
BBVA,"4,4565","-1,81","4,5620","4,4360",7.130.292,"31.972,66",09/04/2021,12:16:27,30.262.203
CAIXABANK,"2,5730","-0,23","2,5930","2,5560",1.774.968,"4.560,79",09/04/2021,12:16:28,20.788.409
CELLNEX,"42,0900","0,21","42,3200","41,7200",859.307,"36.108,52",09/04/2021,12:16:36,20.441.764
CIE AUTOMOT.,"21,7800","-2,68","22,3800","21,7800",70.508,"1.549,89",09/04/2021,12:06:36,2.742.669
ENAGAS,"18,5850","-0,38","18,6950","18,4900",175.218,"3.254,81",09/04/2021,12:15:09,4.887.425
ENDESA,"22,8000","-0,70","23,0000","22,7500",101.353,"2.316,00",09/04/2021,12:16:41,24.308.949
FERROVIAL,"22,3600","-0,18","22,4400","22,0700",113.005,"2.521,01",09/04/2021,12:16:35,16.417.013
FLUIDRA,"25,6500","2,19","25,8500","25,1000",165.757,"4.211,11",09/04/2021,12:10:24,4.910.290
GRIFOLS CL.A,"23,4000","0,04","23,5100","23,1700",176.960,"4.135,85",09/04/2021,12:15:50,9.967.176
IAG,"2,4660","-0,68","2,4990","2,4560",2.969.522,"7.365,43",09/04/2021,12:15:58,12.344.175
IBERDROLA,"11,5550","0,17","11,5900","11,4650",1.925.506,"22.205,22",09/04/2021,12:15:49,74.033.429
INDITEX,"27,8000","-0,39","27,8800","27,5700",426.215,"11.801,27",09/04/2021,12:16:15,86.985.757
INDRA A,"7,4700","0,27","7,5100","7,3950",428.306,"3.192,38",09/04/2021,12:15:57,1.316.075
INM.COLONIAL,"8,1950","-0,73","8,2650","8,1650",55.105,"453,16",09/04/2021,12:06:42,4.194.488
MAPFRE,"1,7785","-0,89","1,7990","1,7745",1.483.885,"2.644,19",09/04/2021,12:15:38,5.526.258
MELIA HOTELS,"6,5060","-0,67","6,5960","6,5000",265.105,"1.732,65",09/04/2021,12:16:21,1.443.620
MERLIN,"9,0060","-0,79","9,0720","8,9320",125.869,"1.134,07",09/04/2021,12:14:09,4.264.579
NATURGY,"20,8600","-0,76","21,0200","20,8100",47.503,"991,79",09/04/2021,12:16:41,20.381.282
PHARMA MAR,"96,0200","-1,21","97,7200","95,7000",29.501,"2.847,98",09/04/2021,12:14:52,1.784.097
R.E.C.,"15,1600","-0,59","15,2300","15,0800",206.801,"3.130,26",09/04/2021,12:16:20,8.251.470
REPSOL,"10,1940","-0,12","10,2540","10,1400",1.175.771,"11.983,02",09/04/2021,12:15:38,16.001.891
SIEMENS GAME,"31,1100","-0,89","31,4700","30,9100",201.720,"6.284,06",09/04/2021,12:16:40,21.381.091
SOLARIA,"17,9400","-3,65","18,6350","17,7650",571.266,"10.290,62",09/04/2021,12:16:40,2.326.585
TELEFONICA,"3,8070","-0,29","3,8400","3,7825",2.764.613,"10.514,89",09/04/2021,12:15:36,21.099.914
VISCOFAN,"59,8500","-0,50","60,2000","59,7000",17.772,"1.065,79",09/04/2021,12:12:46,2.796.975
