Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"139,5000","-0,92","141,2000","139,4000",41.946,"5.877,18",09/04/2021,17:29:03,7.723.817
ACERINOX,"11,4250","1,20","11,4800","11,2350",590.684,"6.728,33",09/04/2021,17:29:00,3.054.467
ACS,"27,6700","-0,57","27,9800","27,5200",496.758,"13.837,81",09/04/2021,17:29:00,8.645.796
AENA,"138,6000","-0,93","140,4000","138,3500",81.602,"11.395,26",09/04/2021,17:28:46,20.985.000
ALMIRALL,"12,5200","-0,71","12,6400","12,4800",173.335,"2.173,11",09/04/2021,17:29:00,2.246.038
AMADEUS,"58,9200","-2,58","60,4200","58,8200",236.563,"14.082,26",09/04/2021,17:29:06,27.246.192
ARCELORMIT.,"24,3950","0,08","24,6050","24,1400",224.435,"5.470,72",09/04/2021,17:28:45,26.880.988
B.SANTANDER,"2,9005","-0,74","2,9410","2,8860",23.699.702,"69.124,67",09/04/2021,17:29:03,50.669.354
BA.SABADELL,"0,4601","-0,13","0,4644","0,4512",28.957.178,"13.267,78",09/04/2021,17:29:06,2.592.343
BANKINTER,"5,8540","-0,37","5,8960","5,8280",651.137,"3.815,89",09/04/2021,17:28:10,5.281.738
BBVA,"4,4475","-2,01","4,5620","4,4360",10.852.512,"48.587,03",09/04/2021,17:29:00,30.262.203
CAIXABANK,"2,5860","0,27","2,5980","2,5560",4.771.806,"12.313,74",09/04/2021,17:28:59,20.788.409
CELLNEX,"41,8200","-0,43","42,3200","41,7200",1.937.271,"81.378,12",09/04/2021,17:29:05,20.441.764
CIE AUTOMOT.,"21,7000","-3,04","22,3800","21,6800",130.651,"2.859,63",09/04/2021,17:29:01,2.742.669
ENAGAS,"18,6200","-0,19","18,7700","18,4900",351.751,"6.552,19",09/04/2021,17:28:48,4.887.425
ENDESA,"22,6800","-1,22","23,0000","22,6500",372.380,"8.504,99",09/04/2021,17:29:01,24.308.949
FERROVIAL,"22,3700","-0,13","22,4400","22,0700",267.001,"5.962,49",09/04/2021,17:28:44,16.417.013
FLUIDRA,"25,2500","0,60","25,8500","25,1000",296.130,"7.528,12",09/04/2021,17:25:15,4.910.290
GRIFOLS CL.A,"23,4800","0,38","23,6100","23,1700",559.469,"13.115,89",09/04/2021,17:28:49,9.967.176
IAG,"2,4410","-1,69","2,4990","2,4360",8.225.899,"20.240,26",09/04/2021,17:29:00,12.344.175
IBERDROLA,"11,5300","-0,04","11,5900","11,4650",6.672.152,"77.103,13",09/04/2021,17:28:57,74.033.429
INDITEX,"27,7100","-0,72","27,9200","27,5700",789.486,"21.893,42",09/04/2021,17:28:52,86.985.757
INDRA A,"7,4300","-0,27","7,5100","7,3950",706.093,"5.264,44",09/04/2021,17:29:00,1.316.075
INM.COLONIAL,"8,1950","-0,73","8,2650","8,1300",125.903,"1.031,19",09/04/2021,17:28:58,4.194.488
MAPFRE,"1,7750","-1,09","1,7990","1,7730",2.429.987,"4.325,74",09/04/2021,17:29:02,5.526.258
MELIA HOTELS,"6,3980","-2,32","6,5960","6,3880",660.409,"4.279,18",09/04/2021,17:29:01,1.443.620
MERLIN,"8,9100","-1,85","9,0720","8,8820",283.472,"2.543,34",09/04/2021,17:29:06,4.264.579
NATURGY,"20,9100","-0,52","21,0200","20,8100",111.663,"2.332,16",09/04/2021,17:28:42,20.381.282
PHARMA MAR,"94,5000","-2,78","97,7200","94,3400",85.728,"8.189,35",09/04/2021,17:28:34,1.784.097
R.E.C.,"15,0950","-1,02","15,2300","15,0750",851.128,"12.911,22",09/04/2021,17:29:00,8.251.470
REPSOL,"10,1440","-0,61","10,2540","10,1160",2.202.311,"22.426,45",09/04/2021,17:29:05,16.001.891
SIEMENS GAME,"30,8500","-1,72","31,4700","30,8400",407.443,"12.663,30",09/04/2021,17:29:01,21.381.091
SOLARIA,"17,9700","-3,49","18,6350","17,7650",1.111.309,"19.973,98",09/04/2021,17:29:04,2.326.585
TELEFONICA,"3,7920","-0,68","3,8400","3,7825",5.907.493,"22.453,62",09/04/2021,17:29:00,21.099.914
VISCOFAN,"60,1500","0,00","60,4500","59,7000",35.290,"2.117,92",09/04/2021,17:29:00,2.796.975
