Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"140,6000","-0,14","141,2000","139,4000",23.807,"3.336,94",09/04/2021,13:23:57,7.723.817
ACERINOX,"11,4350","1,28","11,4800","11,2350",335.000,"3.807,73",09/04/2021,13:26:27,3.054.467
ACS,"27,7600","-0,25","27,9800","27,5700",95.794,"2.656,74",09/04/2021,13:25:08,8.645.796
AENA,"139,9500","0,04","140,4000","139,3000",53.373,"7.463,14",09/04/2021,13:21:22,20.985.000
ALMIRALL,"12,5100","-0,79","12,6400","12,4800",97.399,"1.221,46",09/04/2021,13:23:15,2.246.038
AMADEUS,"59,5200","-1,59","60,4200","59,3400",127.622,"7.640,75",09/04/2021,13:26:11,27.246.192
ARCELORMIT.,"24,5250","0,62","24,6050","24,1400",114.214,"2.781,20",09/04/2021,13:24:49,26.880.988
B.SANTANDER,"2,9265","0,15","2,9410","2,8860",8.600.031,"25.031,97",09/04/2021,13:25:55,50.669.354
BA.SABADELL,"0,4587","-0,43","0,4644","0,4512",13.781.394,"6.290,10",09/04/2021,13:25:27,2.592.343
BANKINTER,"5,8740","-0,03","5,8960","5,8280",376.707,"2.207,01",09/04/2021,13:25:44,5.281.738
BBVA,"4,4820","-1,24","4,5620","4,4360",7.642.816,"34.263,33",09/04/2021,13:26:13,30.262.203
CAIXABANK,"2,5940","0,58","2,5940","2,5560",2.275.051,"5.852,69",09/04/2021,13:26:27,20.788.409
CELLNEX,"42,0400","0,10","42,3200","41,7200",1.045.429,"43.936,19",09/04/2021,13:26:19,20.441.764
CIE AUTOMOT.,"21,8000","-2,59","22,3800","21,7600",82.329,"1.807,94",09/04/2021,13:16:59,2.742.669
ENAGAS,"18,6750","0,11","18,6950","18,4900",215.799,"4.011,05",09/04/2021,13:22:10,4.887.425
ENDESA,"22,7500","-0,91","23,0000","22,7400",128.549,"2.935,23",09/04/2021,13:25:35,24.308.949
FERROVIAL,"22,3800","-0,09","22,4400","22,0700",135.127,"3.015,02",09/04/2021,13:25:20,16.417.013
FLUIDRA,"25,5000","1,59","25,8500","25,1000",199.971,"5.084,15",09/04/2021,13:25:57,4.910.290
GRIFOLS CL.A,"23,4200","0,13","23,5100","23,1700",227.418,"5.316,19",09/04/2021,13:23:03,9.967.176
IAG,"2,4690","-0,56","2,4990","2,4560",3.586.556,"8.887,58",09/04/2021,13:26:05,12.344.175
IBERDROLA,"11,5750","0,35","11,5900","11,4650",2.346.506,"27.064,28",09/04/2021,13:25:49,74.033.429
INDITEX,"27,8400","-0,25","27,8800","27,5700",466.058,"12.910,08",09/04/2021,13:26:06,86.985.757
INDRA A,"7,4750","0,34","7,5100","7,3950",449.964,"3.353,96",09/04/2021,13:21:50,1.316.075
INM.COLONIAL,"8,1700","-1,03","8,2650","8,1500",64.094,"526,56",09/04/2021,13:22:30,4.194.488
MAPFRE,"1,7810","-0,75","1,7990","1,7735",1.758.910,"3.132,92",09/04/2021,13:26:06,5.526.258
MELIA HOTELS,"6,4960","-0,82","6,5960","6,4880",308.114,"2.012,19",09/04/2021,13:25:56,1.443.620
MERLIN,"8,9660","-1,23","9,0720","8,9320",171.104,"1.540,30",09/04/2021,13:25:08,4.264.579
NATURGY,"20,8500","-0,81","21,0200","20,8100",56.364,"1.176,64",09/04/2021,13:22:30,20.381.282
PHARMA MAR,"95,5000","-1,75","97,7200","95,2800",34.094,"3.288,18",09/04/2021,13:25:50,1.784.097
R.E.C.,"15,1800","-0,46","15,2300","15,0800",228.104,"3.453,28",09/04/2021,13:25:21,8.251.470
REPSOL,"10,2220","0,16","10,2540","10,1400",1.337.389,"13.634,06",09/04/2021,13:26:25,16.001.891
SIEMENS GAME,"31,1500","-0,76","31,4700","30,9100",234.964,"7.319,13",09/04/2021,13:23:56,21.381.091
SOLARIA,"17,8550","-4,11","18,6350","17,7650",654.389,"11.773,35",09/04/2021,13:25:49,2.326.585
TELEFONICA,"3,8050","-0,34","3,8400","3,7825",3.285.943,"12.497,24",09/04/2021,13:24:23,21.099.914
VISCOFAN,"59,8000","-0,58","60,2000","59,7000",18.459,"1.106,92",09/04/2021,12:51:06,2.796.975
