Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"140,0000","-0,57","141,2000","139,4000",36.906,"5.173,38",09/04/2021,16:33:25,7.723.817
ACERINOX,"11,4250","1,20","11,4800","11,2350",537.260,"6.117,46",09/04/2021,16:36:40,3.054.467
ACS,"27,6100","-0,79","27,9800","27,5200",464.376,"12.942,81",09/04/2021,16:36:23,8.645.796
AENA,"138,8000","-0,79","140,4000","138,5000",76.657,"10.710,15",09/04/2021,16:36:13,20.985.000
ALMIRALL,"12,5500","-0,48","12,6400","12,4800",147.933,"1.854,81",09/04/2021,16:35:49,2.246.038
AMADEUS,"59,2000","-2,12","60,4200","59,0800",187.646,"11.199,50",09/04/2021,16:36:56,27.246.192
ARCELORMIT.,"24,3900","0,06","24,6050","24,1400",206.519,"5.033,51",09/04/2021,16:36:23,26.880.988
B.SANTANDER,"2,9030","-0,65","2,9410","2,8860",21.495.202,"62.717,84",09/04/2021,16:36:33,50.669.354
BA.SABADELL,"0,4590","-0,37","0,4644","0,4512",24.823.287,"11.366,84",09/04/2021,16:36:26,2.592.343
BANKINTER,"5,8700","-0,10","5,8960","5,8280",558.235,"3.270,79",09/04/2021,16:36:59,5.281.738
BBVA,"4,4585","-1,76","4,5620","4,4360",9.873.234,"44.219,87",09/04/2021,16:37:01,30.262.203
CAIXABANK,"2,5820","0,12","2,5980","2,5560",4.113.468,"10.610,73",09/04/2021,16:35:43,20.788.409
CELLNEX,"42,0100","0,02","42,3200","41,7200",1.707.144,"71.739,86",09/04/2021,16:36:54,20.441.764
CIE AUTOMOT.,"21,7800","-2,68","22,3800","21,7000",119.221,"2.611,45",09/04/2021,16:36:11,2.742.669
ENAGAS,"18,6450","-0,05","18,7700","18,4900",322.205,"6.002,70",09/04/2021,16:36:55,4.887.425
ENDESA,"22,7300","-1,00","23,0000","22,6500",325.374,"7.438,23",09/04/2021,16:36:13,24.308.949
FERROVIAL,"22,3400","-0,27","22,4400","22,0700",234.713,"5.241,10",09/04/2021,16:36:56,16.417.013
FLUIDRA,"25,2500","0,60","25,8500","25,1000",284.157,"7.224,98",09/04/2021,16:26:07,4.910.290
GRIFOLS CL.A,"23,4800","0,38","23,5600","23,1700",377.796,"8.844,87",09/04/2021,16:36:22,9.967.176
IAG,"2,4470","-1,45","2,4990","2,4360",7.043.750,"17.350,39",09/04/2021,16:36:25,12.344.175
IBERDROLA,"11,5600","0,22","11,5900","11,4650",6.231.779,"72.021,76",09/04/2021,16:35:55,74.033.429
INDITEX,"27,7900","-0,43","27,9200","27,5700",707.072,"19.608,54",09/04/2021,16:36:16,86.985.757
INDRA A,"7,4700","0,27","7,5100","7,3950",626.295,"4.670,15",09/04/2021,16:33:50,1.316.075
INM.COLONIAL,"8,1750","-0,97","8,2650","8,1300",98.884,"810,27",09/04/2021,16:36:44,4.194.488
MAPFRE,"1,7765","-1,00","1,7990","1,7730",2.228.074,"3.967,16",09/04/2021,16:36:51,5.526.258
MELIA HOTELS,"6,4400","-1,68","6,5960","6,4220",506.506,"3.293,75",09/04/2021,16:36:06,1.443.620
MERLIN,"8,9200","-1,74","9,0720","8,8820",261.175,"2.344,38",09/04/2021,16:36:51,4.264.579
NATURGY,"20,9500","-0,33","21,0200","20,8100",95.559,"1.995,50",09/04/2021,16:36:26,20.381.282
PHARMA MAR,"94,9600","-2,30","97,7200","94,5800",67.144,"6.429,96",09/04/2021,16:36:56,1.784.097
R.E.C.,"15,1450","-0,69","15,2300","15,0750",736.507,"11.180,97",09/04/2021,16:36:12,8.251.470
REPSOL,"10,1260","-0,78","10,2540","10,1160",1.897.343,"19.333,85",09/04/2021,16:36:52,16.001.891
SIEMENS GAME,"30,9700","-1,34","31,4700","30,8800",349.853,"10.883,80",09/04/2021,16:36:51,21.381.091
SOLARIA,"17,8850","-3,95","18,6350","17,7650",983.338,"17.676,05",09/04/2021,16:37:03,2.326.585
TELEFONICA,"3,7970","-0,55","3,8400","3,7825",4.856.893,"18.471,41",09/04/2021,16:37:02,21.099.914
VISCOFAN,"60,0500","-0,17","60,4500","59,7000",32.360,"1.942,01",09/04/2021,16:20:40,2.796.975
