Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"139,6000","-0,85","141,2000","139,4000",40.499,"5.675,21",09/04/2021,17:08:43,7.723.817
ACERINOX,"11,4400","1,33","11,4800","11,2350",569.544,"6.486,74",09/04/2021,17:10:23,3.054.467
ACS,"27,6100","-0,79","27,9800","27,5200",480.702,"13.393,56",09/04/2021,17:10:39,8.645.796
AENA,"138,4000","-1,07","140,4000","138,4000",79.469,"11.099,93",09/04/2021,17:10:37,20.985.000
ALMIRALL,"12,5100","-0,79","12,6400","12,4800",158.597,"1.988,47",09/04/2021,17:11:15,2.246.038
AMADEUS,"58,8400","-2,71","60,4200","58,8200",212.758,"12.680,33",09/04/2021,17:10:52,27.246.192
ARCELORMIT.,"24,4050","0,12","24,6050","24,1400",214.045,"5.217,14",09/04/2021,17:09:36,26.880.988
B.SANTANDER,"2,9090","-0,44","2,9410","2,8860",22.639.819,"66.046,30",09/04/2021,17:11:07,50.669.354
BA.SABADELL,"0,4600","-0,15","0,4644","0,4512",26.777.720,"12.266,03",09/04/2021,17:11:25,2.592.343
BANKINTER,"5,8660","-0,17","5,8960","5,8280",609.014,"3.568,74",09/04/2021,17:08:18,5.281.738
BBVA,"4,4595","-1,74","4,5620","4,4360",10.436.372,"46.734,20",09/04/2021,17:11:25,30.262.203
CAIXABANK,"2,5880","0,35","2,5980","2,5560",4.419.358,"11.401,98",09/04/2021,17:10:56,20.788.409
CELLNEX,"41,8900","-0,26","42,3200","41,7200",1.825.426,"76.700,49",09/04/2021,17:11:22,20.441.764
CIE AUTOMOT.,"21,7000","-3,04","22,3800","21,7000",124.132,"2.718,13",09/04/2021,17:09:31,2.742.669
ENAGAS,"18,5800","-0,40","18,7700","18,4900",333.913,"6.220,47",09/04/2021,17:11:08,4.887.425
ENDESA,"22,7000","-1,13","23,0000","22,6500",341.108,"7.795,57",09/04/2021,17:10:15,24.308.949
FERROVIAL,"22,3400","-0,27","22,4400","22,0700",248.358,"5.545,83",09/04/2021,17:10:48,16.417.013
FLUIDRA,"25,3000","0,80","25,8500","25,1000",295.336,"7.508,03",09/04/2021,17:09:20,4.910.290
GRIFOLS CL.A,"23,4300","0,17","23,6100","23,1700",480.762,"11.266,38",09/04/2021,17:10:31,9.967.176
IAG,"2,4410","-1,69","2,4990","2,4360",7.772.846,"19.134,11",09/04/2021,17:10:44,12.344.175
IBERDROLA,"11,5300","-0,04","11,5900","11,4650",6.451.916,"74.563,90",09/04/2021,17:11:25,74.033.429
INDITEX,"27,7100","-0,72","27,9200","27,5700",747.453,"20.728,80",09/04/2021,17:11:21,86.985.757
INDRA A,"7,4400","-0,13","7,5100","7,3950",668.879,"4.987,55",09/04/2021,17:09:17,1.316.075
INM.COLONIAL,"8,1900","-0,79","8,2650","8,1300",117.491,"962,32",09/04/2021,17:11:12,4.194.488
MAPFRE,"1,7760","-1,03","1,7990","1,7730",2.341.728,"4.168,98",09/04/2021,17:10:42,5.526.258
MELIA HOTELS,"6,3960","-2,35","6,5960","6,3880",620.378,"4.023,05",09/04/2021,17:11:11,1.443.620
MERLIN,"8,9240","-1,70","9,0720","8,8820",276.044,"2.477,11",09/04/2021,17:09:18,4.264.579
NATURGY,"20,8600","-0,76","21,0200","20,8100",102.737,"2.145,61",09/04/2021,17:11:24,20.381.282
PHARMA MAR,"94,7800","-2,49","97,7200","94,5800",72.627,"6.950,68",09/04/2021,17:11:22,1.784.097
R.E.C.,"15,0900","-1,05","15,2300","15,0750",763.042,"11.581,99",09/04/2021,17:10:56,8.251.470
REPSOL,"10,1480","-0,57","10,2540","10,1160",2.087.880,"21.264,84",09/04/2021,17:11:14,16.001.891
SIEMENS GAME,"30,9000","-1,56","31,4700","30,8800",376.782,"11.716,94",09/04/2021,17:10:33,21.381.091
SOLARIA,"17,9600","-3,54","18,6350","17,7650",1.062.995,"19.105,26",09/04/2021,17:10:53,2.326.585
TELEFONICA,"3,7895","-0,75","3,8400","3,7825",5.486.503,"20.857,51",09/04/2021,17:11:07,21.099.914
VISCOFAN,"60,1000","-0,08","60,4500","59,7000",34.282,"2.057,33",09/04/2021,17:09:54,2.796.975
