Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"140,0000","-0,57","141,2000","139,4000",65.199,"9.132,51",09/04/2021,17:35:19,7.723.817
ACERINOX,"11,4200","1,15","11,4800","11,2350",674.529,"7.685,81",09/04/2021,17:35:19,3.054.467
ACS,"27,6100","-0,79","27,9800","27,5200",761.526,"21.148,09",09/04/2021,17:35:19,8.645.796
AENA,"138,3000","-1,14","140,4000","138,3000",144.651,"20.114,95",09/04/2021,17:35:19,20.985.000
ALMIRALL,"12,5200","-0,71","12,6400","12,4800",227.713,"2.853,93",09/04/2021,17:35:19,2.246.038
AMADEUS,"58,7800","-2,81","60,4200","58,7800",616.857,"36.436,55",09/04/2021,17:35:19,27.246.192
ARCELORMIT.,"24,4450","0,29","24,6050","24,1400",246.866,"6.018,96",09/04/2021,17:35:19,26.880.988
B.SANTANDER,"2,9030","-0,65","2,9410","2,8860",32.749.030,"95.394,80",09/04/2021,17:35:19,50.669.354
BA.SABADELL,"0,4600","-0,15","0,4644","0,4512",35.703.383,"16.371,04",09/04/2021,17:35:19,2.592.343
BANKINTER,"5,8520","-0,41","5,8960","5,8280",1.144.539,"6.703,33",09/04/2021,17:35:19,5.281.738
BBVA,"4,4310","-2,37","4,5620","4,4310",16.935.477,"75.541,01",09/04/2021,17:35:19,30.262.203
CAIXABANK,"2,5870","0,31","2,5980","2,5560",8.081.218,"20.875,20",09/04/2021,17:35:19,20.788.409
CELLNEX,"41,9900","-0,02","42,3200","41,7200",2.743.012,"115.208,65",09/04/2021,17:35:19,20.441.764
CIE AUTOMOT.,"21,7000","-3,04","22,3800","21,6800",159.980,"3.496,07",09/04/2021,17:35:19,2.742.669
ENAGAS,"18,6350","-0,11","18,7700","18,4900",657.155,"12.243,39",09/04/2021,17:35:19,4.887.425
ENDESA,"22,6300","-1,44","23,0000","22,6300",1.021.769,"23.200,86",09/04/2021,17:35:19,24.308.949
FERROVIAL,"22,2600","-0,63","22,4400","22,0700",777.276,"17.321,38",09/04/2021,17:35:19,16.417.013
FLUIDRA,"25,2500","0,60","25,8500","25,1000",332.882,"8.456,11",09/04/2021,17:35:19,4.910.290
GRIFOLS CL.A,"23,4400","0,21","23,6100","23,1700",976.275,"22.885,87",09/04/2021,17:35:19,9.967.176
IAG,"2,4350","-1,93","2,4990","2,4350",9.451.448,"23.224,58",09/04/2021,17:35:19,12.344.175
IBERDROLA,"11,5100","-0,22","11,5900","11,4650",10.409.236,"120.117,27",09/04/2021,17:35:19,74.033.429
INDITEX,"27,7200","-0,68","27,9200","27,5700",1.878.045,"52.068,20",09/04/2021,17:35:19,86.985.757
INDRA A,"7,4350","-0,20","7,5100","7,3950",765.499,"5.706,11",09/04/2021,17:35:19,1.316.075
INM.COLONIAL,"8,2150","-0,48","8,2650","8,1300",369.522,"3.032,48",09/04/2021,17:35:19,4.194.488
MAPFRE,"1,7710","-1,31","1,7990","1,7710",3.132.827,"5.570,49",09/04/2021,17:35:19,5.526.258
MELIA HOTELS,"6,4000","-2,29","6,5960","6,3880",751.400,"4.861,50",09/04/2021,17:35:19,1.443.620
MERLIN,"8,8800","-2,18","9,0720","8,8800",578.863,"5.166,53",09/04/2021,17:35:19,4.264.579
NATURGY,"20,9000","-0,57","21,0200","20,8100",346.399,"7.238,14",09/04/2021,17:35:19,20.381.282
PHARMA MAR,"94,2200","-3,07","97,7200","94,2200",99.562,"9.493,09",09/04/2021,17:35:19,1.784.097
R.E.C.,"15,0850","-1,08","15,2300","15,0750",1.385.117,"20.966,46",09/04/2021,17:35:19,8.251.470
REPSOL,"10,1340","-0,71","10,2540","10,1160",3.426.870,"34.836,39",09/04/2021,17:35:19,16.001.891
SIEMENS GAME,"30,9400","-1,43","31,4700","30,8300",719.401,"22.314,90",09/04/2021,17:35:19,21.381.091
SOLARIA,"18,0400","-3,11","18,6350","17,7650",1.278.185,"22.983,94",09/04/2021,17:35:19,2.326.585
TELEFONICA,"3,8000","-0,47","3,8400","3,7825",9.217.362,"35.030,58",09/04/2021,17:35:19,21.099.914
VISCOFAN,"60,0000","-0,25","60,4500","59,7000",70.390,"4.224,04",09/04/2021,17:35:19,2.796.975
