Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"141,0000","0,14","141,2000","139,4000",24.553,"3.442,01",09/04/2021,13:40:57,7.723.817
ACERINOX,"11,4500","1,42","11,4800","11,2350",344.685,"3.918,47",09/04/2021,13:41:40,3.054.467
ACS,"27,7600","-0,25","27,9800","27,5700",98.981,"2.745,21",09/04/2021,13:39:37,8.645.796
AENA,"139,9500","0,04","140,4000","139,3000",53.952,"7.544,18",09/04/2021,13:42:49,20.985.000
ALMIRALL,"12,5600","-0,40","12,6400","12,4800",107.705,"1.350,79",09/04/2021,13:40:57,2.246.038
AMADEUS,"59,4800","-1,65","60,4200","59,3400",131.437,"7.867,73",09/04/2021,13:42:34,27.246.192
ARCELORMIT.,"24,5250","0,62","24,6050","24,1400",116.150,"2.828,66",09/04/2021,13:42:09,26.880.988
B.SANTANDER,"2,9335","0,39","2,9410","2,8860",16.571.258,"48.347,22",09/04/2021,13:42:59,50.669.354
BA.SABADELL,"0,4598","-0,20","0,4644","0,4512",14.062.670,"6.419,28",09/04/2021,13:42:49,2.592.343
BANKINTER,"5,8920","0,27","5,8960","5,8280",401.976,"2.355,75",09/04/2021,13:42:49,5.281.738
BBVA,"4,4990","-0,87","4,5620","4,4360",7.845.142,"35.172,11",09/04/2021,13:42:49,30.262.203
CAIXABANK,"2,5930","0,54","2,5960","2,5560",2.515.425,"6.475,74",09/04/2021,13:42:49,20.788.409
CELLNEX,"41,9800","-0,05","42,3200","41,7200",1.136.351,"47.748,96",09/04/2021,13:43:03,20.441.764
CIE AUTOMOT.,"21,8800","-2,23","22,3800","21,7600",83.489,"1.833,28",09/04/2021,13:40:18,2.742.669
ENAGAS,"18,7100","0,29","18,7100","18,4900",217.874,"4.049,82",09/04/2021,13:41:55,4.887.425
ENDESA,"22,7600","-0,87","23,0000","22,7400",247.096,"5.660,79",09/04/2021,13:42:44,24.308.949
FERROVIAL,"22,4100","0,04","22,4400","22,0700",138.827,"3.097,89",09/04/2021,13:41:56,16.417.013
FLUIDRA,"25,5000","1,59","25,8500","25,1000",255.216,"6.490,17",09/04/2021,13:42:00,4.910.290
GRIFOLS CL.A,"23,5200","0,56","23,5200","23,1700",238.130,"5.567,50",09/04/2021,13:42:49,9.967.176
IAG,"2,4580","-1,01","2,4990","2,4560",3.964.051,"9.816,46",09/04/2021,13:42:55,12.344.175
IBERDROLA,"11,5850","0,43","11,5900","11,4650",4.390.720,"50.736,65",09/04/2021,13:42:05,74.033.429
INDITEX,"27,7800","-0,47","27,8800","27,5700",479.798,"13.292,06",09/04/2021,13:38:34,86.985.757
INDRA A,"7,4900","0,54","7,5100","7,3950",553.417,"4.125,48",09/04/2021,13:42:58,1.316.075
INM.COLONIAL,"8,1800","-0,91","8,2650","8,1500",66.010,"542,21",09/04/2021,13:29:27,4.194.488
MAPFRE,"1,7810","-0,75","1,7990","1,7735",1.779.252,"3.169,15",09/04/2021,13:41:47,5.526.258
MELIA HOTELS,"6,4800","-1,07","6,5960","6,4720",323.218,"2.110,09",09/04/2021,13:42:20,1.443.620
MERLIN,"8,9720","-1,17","9,0720","8,9320",179.143,"1.612,38",09/04/2021,13:40:43,4.264.579
NATURGY,"20,8900","-0,62","21,0200","20,8100",58.451,"1.220,21",09/04/2021,13:42:05,20.381.282
PHARMA MAR,"95,5000","-1,75","97,7200","95,2800",34.831,"3.358,65",09/04/2021,13:38:48,1.784.097
R.E.C.,"15,1950","-0,36","15,2300","15,0800",238.557,"3.611,99",09/04/2021,13:43:05,8.251.470
REPSOL,"10,2000","-0,06","10,2540","10,1400",1.370.222,"13.969,29",09/04/2021,13:43:03,16.001.891
SIEMENS GAME,"31,1900","-0,64","31,4700","30,9100",239.262,"7.453,03",09/04/2021,13:42:42,21.381.091
SOLARIA,"17,9100","-3,81","18,6350","17,7650",689.638,"12.403,31",09/04/2021,13:42:40,2.326.585
TELEFONICA,"3,8045","-0,35","3,8400","3,7825",3.463.780,"13.173,95",09/04/2021,13:42:48,21.099.914
VISCOFAN,"60,3000","0,25","60,3000","59,7000",21.997,"1.318,99",09/04/2021,13:41:34,2.796.975
