Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"140,4000","-0,28","141,2000","139,4000",14.734,"2.063,61",09/04/2021,11:57:13,7.723.817
ACERINOX,"11,4200","1,15","11,4500","11,2350",277.996,"3.155,06",09/04/2021,11:58:20,3.054.467
ACS,"27,7200","-0,40","27,9800","27,5700",73.066,"2.026,65",09/04/2021,11:58:34,8.645.796
AENA,"140,0500","0,11","140,4000","139,3000",48.551,"6.787,86",09/04/2021,11:55:33,20.985.000
ALMIRALL,"12,5100","-0,79","12,6400","12,4800",82.367,"1.033,49",09/04/2021,11:55:39,2.246.038
AMADEUS,"59,9600","-0,86","60,4200","59,6200",103.518,"6.204,12",09/04/2021,11:59:29,27.246.192
ARCELORMIT.,"24,4650","0,37","24,4850","24,1400",84.051,"2.040,82",09/04/2021,11:59:17,26.880.988
B.SANTANDER,"2,8935","-0,98","2,9410","2,8860",6.848.875,"19.933,39",09/04/2021,11:59:32,50.669.354
BA.SABADELL,"0,4556","-1,11","0,4644","0,4512",11.453.421,"5.226,61",09/04/2021,11:59:20,2.592.343
BANKINTER,"5,8400","-0,61","5,8960","5,8280",297.054,"1.740,22",09/04/2021,11:59:12,5.281.738
BBVA,"4,4505","-1,94","4,5620","4,4360",6.814.641,"30.567,69",09/04/2021,11:59:00,30.262.203
CAIXABANK,"2,5700","-0,35","2,5930","2,5560",1.637.022,"4.206,01",09/04/2021,11:58:43,20.788.409
CELLNEX,"42,1000","0,24","42,3200","41,7200",770.009,"32.353,23",09/04/2021,11:59:29,20.441.764
CIE AUTOMOT.,"21,8600","-2,32","22,3800","21,8200",69.629,"1.530,72",09/04/2021,11:52:14,2.742.669
ENAGAS,"18,5850","-0,38","18,6950","18,4900",169.794,"3.153,98",09/04/2021,11:57:23,4.887.425
ENDESA,"22,8200","-0,61","23,0000","22,7500",97.558,"2.229,42",09/04/2021,11:59:29,24.308.949
FERROVIAL,"22,4200","0,09","22,4300","22,0700",105.440,"2.351,55",09/04/2021,11:58:59,16.417.013
FLUIDRA,"25,6500","2,19","25,8500","25,1000",165.196,"4.196,73",09/04/2021,11:59:19,4.910.290
GRIFOLS CL.A,"23,3700","-0,09","23,5100","23,1700",167.389,"3.911,91",09/04/2021,11:59:29,9.967.176
IAG,"2,4740","-0,36","2,4990","2,4560",2.809.125,"6.969,35",09/04/2021,11:59:18,12.344.175
IBERDROLA,"11,5500","0,13","11,5900","11,4650",1.732.195,"19.975,72",09/04/2021,11:59:29,74.033.429
INDITEX,"27,7900","-0,43","27,8100","27,5700",406.082,"11.240,79",09/04/2021,11:59:30,86.985.757
INDRA A,"7,4850","0,47","7,5100","7,3950",412.847,"3.076,70",09/04/2021,11:57:03,1.316.075
INM.COLONIAL,"8,1950","-0,73","8,2650","8,1650",53.951,"443,70",09/04/2021,11:55:00,4.194.488
MAPFRE,"1,7760","-1,03","1,7990","1,7745",1.456.528,"2.595,57",09/04/2021,11:59:23,5.526.258
MELIA HOTELS,"6,5260","-0,37","6,5960","6,5000",255.224,"1.668,23",09/04/2021,11:58:59,1.443.620
MERLIN,"8,9840","-1,04","9,0720","8,9320",103.260,"930,52",09/04/2021,11:54:59,4.264.579
NATURGY,"20,8700","-0,71","21,0200","20,8100",45.487,"949,72",09/04/2021,11:56:30,20.381.282
PHARMA MAR,"96,0400","-1,19","97,7200","95,7000",28.866,"2.787,04",09/04/2021,11:59:28,1.784.097
R.E.C.,"15,1600","-0,59","15,2300","15,0800",194.309,"2.940,90",09/04/2021,11:59:03,8.251.470
REPSOL,"10,1900","-0,16","10,2540","10,1400",1.090.628,"11.114,91",09/04/2021,11:59:15,16.001.891
SIEMENS GAME,"31,1300","-0,83","31,4700","30,9100",190.661,"5.939,90",09/04/2021,11:58:27,21.381.091
SOLARIA,"17,8350","-4,22","18,6350","17,7650",500.692,"9.030,98",09/04/2021,11:59:00,2.326.585
TELEFONICA,"3,8075","-0,28","3,8400","3,7825",2.672.397,"10.163,57",09/04/2021,11:59:22,21.099.914
VISCOFAN,"59,9000","-0,42","60,2000","59,7000",16.017,"960,79",09/04/2021,11:46:43,2.796.975
