Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"140,3000","-0,36","141,2000","139,4000",18.181,"2.547,28",09/04/2021,12:48:56,7.723.817
ACERINOX,"11,4450","1,37","11,4600","11,2350",306.779,"3.484,28",09/04/2021,12:50:01,3.054.467
ACS,"27,7000","-0,47","27,9800","27,5700",84.399,"2.340,79",09/04/2021,12:50:51,8.645.796
AENA,"140,0000","0,07","140,4000","139,3000",51.841,"7.248,66",09/04/2021,12:51:05,20.985.000
ALMIRALL,"12,5000","-0,87","12,6400","12,4800",92.093,"1.155,14",09/04/2021,12:48:25,2.246.038
AMADEUS,"59,5200","-1,59","60,4200","59,4600",120.595,"7.223,03",09/04/2021,12:51:05,27.246.192
ARCELORMIT.,"24,5250","0,62","24,5950","24,1400",102.285,"2.487,99",09/04/2021,12:50:52,26.880.988
B.SANTANDER,"2,9120","-0,34","2,9410","2,8860",7.815.706,"22.741,89",09/04/2021,12:50:46,50.669.354
BA.SABADELL,"0,4570","-0,80","0,4644","0,4512",12.962.152,"5.915,06",09/04/2021,12:50:58,2.592.343
BANKINTER,"5,8600","-0,27","5,8960","5,8280",346.984,"2.032,38",09/04/2021,12:50:58,5.281.738
BBVA,"4,4685","-1,54","4,5620","4,4360",7.438.100,"33.346,74",09/04/2021,12:50:56,30.262.203
CAIXABANK,"2,5740","-0,19","2,5930","2,5560",1.882.733,"4.838,37",09/04/2021,12:49:01,20.788.409
CELLNEX,"42,0600","0,14","42,3200","41,7200",933.849,"39.243,41",09/04/2021,12:51:05,20.441.764
CIE AUTOMOT.,"21,8200","-2,50","22,3800","21,7600",79.979,"1.756,71",09/04/2021,12:43:18,2.742.669
ENAGAS,"18,6700","0,08","18,6950","18,4900",206.970,"3.846,16",09/04/2021,12:49:24,4.887.425
ENDESA,"22,7800","-0,78","23,0000","22,7500",115.205,"2.631,59",09/04/2021,12:50:19,24.308.949
FERROVIAL,"22,3300","-0,31","22,4400","22,0700",127.187,"2.837,62",09/04/2021,12:50:41,16.417.013
FLUIDRA,"25,4500","1,39","25,8500","25,1000",187.586,"4.768,59",09/04/2021,12:50:02,4.910.290
GRIFOLS CL.A,"23,4300","0,17","23,5100","23,1700",195.460,"4.568,70",09/04/2021,12:50:53,9.967.176
IAG,"2,4670","-0,64","2,4990","2,4560",3.274.817,"8.118,51",09/04/2021,12:50:26,12.344.175
IBERDROLA,"11,5400","0,04","11,5900","11,4650",2.119.303,"24.439,77",09/04/2021,12:50:25,74.033.429
INDITEX,"27,8000","-0,39","27,8800","27,5700",442.580,"12.256,40",09/04/2021,12:48:58,86.985.757
INDRA A,"7,4500","0,00","7,5100","7,3950",440.552,"3.283,72",09/04/2021,12:49:44,1.316.075
INM.COLONIAL,"8,1650","-1,09","8,2650","8,1550",60.815,"499,80",09/04/2021,12:50:24,4.194.488
MAPFRE,"1,7750","-1,09","1,7990","1,7735",1.646.115,"2.932,21",09/04/2021,12:49:39,5.526.258
MELIA HOTELS,"6,4960","-0,82","6,5960","6,4900",291.321,"1.903,10",09/04/2021,12:49:06,1.443.620
MERLIN,"8,9680","-1,21","9,0720","8,9320",150.795,"1.358,18",09/04/2021,12:48:08,4.264.579
NATURGY,"20,8700","-0,71","21,0200","20,8100",51.601,"1.077,25",09/04/2021,12:47:05,20.381.282
PHARMA MAR,"96,2000","-1,03","97,7200","95,7000",30.868,"2.979,47",09/04/2021,12:50:22,1.784.097
R.E.C.,"15,1750","-0,49","15,2300","15,0800",216.849,"3.282,54",09/04/2021,12:50:04,8.251.470
REPSOL,"10,2160","0,10","10,2540","10,1400",1.259.124,"12.833,78",09/04/2021,12:50:39,16.001.891
SIEMENS GAME,"31,1100","-0,89","31,4700","30,9100",211.829,"6.598,57",09/04/2021,12:50:35,21.381.091
SOLARIA,"17,8400","-4,19","18,6350","17,7650",622.787,"11.209,53",09/04/2021,12:50:57,2.326.585
TELEFONICA,"3,7955","-0,59","3,8400","3,7825",2.970.554,"11.298,16",09/04/2021,12:50:56,21.099.914
VISCOFAN,"59,9000","-0,42","60,2000","59,7000",18.259,"1.094,95",09/04/2021,12:43:25,2.796.975
