Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"139,6000","-0,85","141,2000","139,4000",39.115,"5.481,97",09/04/2021,16:53:47,7.723.817
ACERINOX,"11,4350","1,28","11,4800","11,2350",551.378,"6.278,90",09/04/2021,16:53:23,3.054.467
ACS,"27,5800","-0,90","27,9800","27,5200",469.094,"13.073,00",09/04/2021,16:52:05,8.645.796
AENA,"138,5000","-1,00","140,4000","138,4500",77.961,"10.890,89",09/04/2021,16:53:49,20.985.000
ALMIRALL,"12,5300","-0,63","12,6400","12,4800",154.508,"1.937,23",09/04/2021,16:53:23,2.246.038
AMADEUS,"58,9600","-2,51","60,4200","58,9400",197.977,"11.809,36",09/04/2021,16:53:49,27.246.192
ARCELORMIT.,"24,3850","0,04","24,6050","24,1400",210.883,"5.139,94",09/04/2021,16:53:25,26.880.988
B.SANTANDER,"2,9085","-0,46","2,9410","2,8860",22.138.168,"64.586,99",09/04/2021,16:53:27,50.669.354
BA.SABADELL,"0,4606","-0,02","0,4644","0,4512",25.618.140,"11.732,45",09/04/2021,16:53:02,2.592.343
BANKINTER,"5,8600","-0,27","5,8960","5,8280",584.277,"3.423,59",09/04/2021,16:53:33,5.281.738
BBVA,"4,4690","-1,53","4,5620","4,4360",10.167.904,"45.535,59",09/04/2021,16:53:23,30.262.203
CAIXABANK,"2,5890","0,39","2,5980","2,5560",4.263.253,"10.997,97",09/04/2021,16:53:23,20.788.409
CELLNEX,"41,8900","-0,26","42,3200","41,7200",1.759.035,"73.916,84",09/04/2021,16:53:50,20.441.764
CIE AUTOMOT.,"21,7200","-2,95","22,3800","21,7000",120.726,"2.644,18",09/04/2021,16:53:50,2.742.669
ENAGAS,"18,6100","-0,24","18,7700","18,4900",325.764,"6.068,97",09/04/2021,16:53:23,4.887.425
ENDESA,"22,7200","-1,05","23,0000","22,6500",328.262,"7.503,86",09/04/2021,16:53:25,24.308.949
FERROVIAL,"22,3300","-0,31","22,4400","22,0700",238.819,"5.332,72",09/04/2021,16:51:49,16.417.013
FLUIDRA,"25,3500","1,00","25,8500","25,1000",290.382,"7.382,67",09/04/2021,16:50:34,4.910.290
GRIFOLS CL.A,"23,5400","0,64","23,5900","23,1700",436.343,"10.220,87",09/04/2021,16:53:51,9.967.176
IAG,"2,4460","-1,49","2,4990","2,4360",7.219.218,"17.779,25",09/04/2021,16:53:48,12.344.175
IBERDROLA,"11,5350","0,00","11,5900","11,4650",6.368.347,"73.599,79",09/04/2021,16:53:44,74.033.429
INDITEX,"27,7400","-0,61","27,9200","27,5700",725.092,"20.108,80",09/04/2021,16:53:52,86.985.757
INDRA A,"7,4500","0,00","7,5100","7,3950",658.991,"4.913,91",09/04/2021,16:52:04,1.316.075
INM.COLONIAL,"8,1900","-0,79","8,2650","8,1300",110.947,"908,71",09/04/2021,16:53:24,4.194.488
MAPFRE,"1,7755","-1,06","1,7990","1,7730",2.286.656,"4.071,20",09/04/2021,16:50:55,5.526.258
MELIA HOTELS,"6,3940","-2,38","6,5960","6,3880",584.767,"3.795,18",09/04/2021,16:53:23,1.443.620
MERLIN,"8,9340","-1,59","9,0720","8,8820",269.369,"2.417,52",09/04/2021,16:53:05,4.264.579
NATURGY,"20,9100","-0,52","21,0200","20,8100",98.879,"2.064,99",09/04/2021,16:53:23,20.381.282
PHARMA MAR,"94,8800","-2,39","97,7200","94,5800",67.863,"6.498,21",09/04/2021,16:53:23,1.784.097
R.E.C.,"15,1200","-0,85","15,2300","15,0750",744.639,"11.304,00",09/04/2021,16:53:26,8.251.470
REPSOL,"10,1380","-0,67","10,2540","10,1160",2.024.679,"20.623,92",09/04/2021,16:53:42,16.001.891
SIEMENS GAME,"30,9700","-1,34","31,4700","30,8800",360.680,"11.218,98",09/04/2021,16:53:30,21.381.091
SOLARIA,"17,9800","-3,44","18,6350","17,7650",1.021.366,"18.357,64",09/04/2021,16:53:52,2.326.585
TELEFONICA,"3,7870","-0,81","3,8400","3,7825",5.200.054,"19.772,14",09/04/2021,16:53:23,21.099.914
VISCOFAN,"59,9500","-0,33","60,4500","59,7000",33.444,"2.007,03",09/04/2021,16:52:11,2.796.975
