Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"140,0000","-0,57","141,2000","139,6000",6.412,"899,00",09/04/2021,10:32:24,7.723.817
ACERINOX,"11,3750","0,75","11,3900","11,2350",155.310,"1.757,77",09/04/2021,10:32:15,3.054.467
ACS,"27,7500","-0,29","27,9800","27,5800",49.890,"1.385,03",09/04/2021,10:32:53,8.645.796
AENA,"140,2500","0,25","140,4000","139,3000",44.785,"6.260,91",09/04/2021,10:32:21,20.985.000
ALMIRALL,"12,5600","-0,40","12,6400","12,5000",58.307,"732,29",09/04/2021,10:29:19,2.246.038
AMADEUS,"59,8200","-1,09","60,4200","59,6200",55.081,"3.301,40",09/04/2021,10:32:52,27.246.192
ARCELORMIT.,"24,1900","-0,76","24,4550","24,1400",57.192,"1.387,39",09/04/2021,10:32:50,26.880.988
B.SANTANDER,"2,9015","-0,70","2,9410","2,8960",4.194.133,"12.246,23",09/04/2021,10:32:51,50.669.354
BA.SABADELL,"0,4563","-0,96","0,4644","0,4541",7.986.510,"3.652,09",09/04/2021,10:31:20,2.592.343
BANKINTER,"5,8600","-0,27","5,8960","5,8320",201.402,"1.180,17",09/04/2021,10:32:59,5.281.738
BBVA,"4,4655","-1,61","4,5620","4,4580",1.616.451,"7.275,59",09/04/2021,10:32:51,30.262.203
CAIXABANK,"2,5600","-0,74","2,5930","2,5560",1.106.083,"2.845,32",09/04/2021,10:32:51,20.788.409
CELLNEX,"42,0700","0,17","42,1700","41,7200",441.512,"18.518,13",09/04/2021,10:32:48,20.441.764
CIE AUTOMOT.,"21,9000","-2,14","22,3800","21,9000",28.108,"619,87",09/04/2021,10:28:38,2.742.669
ENAGAS,"18,5200","-0,72","18,6950","18,4900",135.158,"2.511,69",09/04/2021,10:32:28,4.887.425
ENDESA,"22,8300","-0,57","23,0000","22,7500",69.749,"1.595,28",09/04/2021,10:32:21,24.308.949
FERROVIAL,"22,3000","-0,45","22,4300","22,0700",68.779,"1.531,86",09/04/2021,10:30:08,16.417.013
FLUIDRA,"25,6000","1,99","25,6000","25,1000",131.306,"3.326,80",09/04/2021,10:28:37,4.910.290
GRIFOLS CL.A,"23,4200","0,13","23,5100","23,1700",90.384,"2.112,03",09/04/2021,10:32:40,9.967.176
IAG,"2,4870","0,16","2,4990","2,4560",2.092.104,"5.186,83",09/04/2021,10:32:46,12.344.175
IBERDROLA,"11,5150","-0,17","11,5900","11,4650",1.052.335,"12.133,85",09/04/2021,10:32:21,74.033.429
INDITEX,"27,6700","-0,86","27,7800","27,5700",240.380,"6.647,13",09/04/2021,10:31:39,86.985.757
INDRA A,"7,4300","-0,27","7,5100","7,3950",293.214,"2.182,22",09/04/2021,10:32:11,1.316.075
INM.COLONIAL,"8,2300","-0,30","8,2650","8,1650",40.270,"331,37",09/04/2021,10:32:45,4.194.488
MAPFRE,"1,7805","-0,78","1,7990","1,7770",1.032.673,"1.841,99",09/04/2021,10:32:58,5.526.258
MELIA HOTELS,"6,5220","-0,43","6,5960","6,5000",147.222,"964,41",09/04/2021,10:30:13,1.443.620
MERLIN,"9,0400","-0,42","9,0720","8,9320",86.423,"779,02",09/04/2021,10:32:41,4.264.579
NATURGY,"20,8600","-0,76","21,0200","20,8100",27.657,"577,68",09/04/2021,10:31:29,20.381.282
PHARMA MAR,"95,9200","-1,32","97,7200","95,7600",21.827,"2.111,12",09/04/2021,10:31:41,1.784.097
R.E.C.,"15,1250","-0,82","15,2300","15,0800",159.044,"2.407,65",09/04/2021,10:29:07,8.251.470
REPSOL,"10,1540","-0,51","10,2540","10,1400",743.776,"7.588,48",09/04/2021,10:32:55,16.001.891
SIEMENS GAME,"31,0000","-1,24","31,4700","30,9600",144.925,"4.518,86",09/04/2021,10:32:22,21.381.091
SOLARIA,"17,8650","-4,05","18,6350","17,8200",307.307,"5.579,24",09/04/2021,10:32:24,2.326.585
TELEFONICA,"3,7885","-0,77","3,8400","3,7825",1.696.575,"6.460,92",09/04/2021,10:32:31,21.099.914
VISCOFAN,"60,1000","-0,08","60,2000","59,7000",12.507,"750,25",09/04/2021,10:32:23,2.796.975
