Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"140,0000","-0,57","141,2000","139,4000",33.168,"4.650,56",09/04/2021,15:26:34,7.723.817
ACERINOX,"11,3950","0,93","11,4800","11,2350",472.325,"5.375,16",09/04/2021,15:27:25,3.054.467
ACS,"27,5800","-0,90","27,9800","27,5600",448.659,"12.509,59",09/04/2021,15:26:51,8.645.796
AENA,"139,6500","-0,18","140,4000","139,3000",69.671,"9.740,27",09/04/2021,15:26:33,20.985.000
ALMIRALL,"12,5200","-0,71","12,6400","12,4800",120.163,"1.506,82",09/04/2021,15:24:13,2.246.038
AMADEUS,"59,3000","-1,95","60,4200","59,1200",164.403,"9.823,28",09/04/2021,15:26:49,27.246.192
ARCELORMIT.,"24,2050","-0,70","24,6050","24,1400",140.624,"3.424,69",09/04/2021,15:26:39,26.880.988
B.SANTANDER,"2,9105","-0,39","2,9410","2,8860",19.285.852,"56.296,29",09/04/2021,15:27:25,50.669.354
BA.SABADELL,"0,4601","-0,13","0,4644","0,4512",18.695.276,"8.548,85",09/04/2021,15:26:39,2.592.343
BANKINTER,"5,8420","-0,58","5,8960","5,8280",477.698,"2.799,66",09/04/2021,15:27:11,5.281.738
BBVA,"4,4565","-1,81","4,5620","4,4360",8.653.244,"38.787,36",09/04/2021,15:27:08,30.262.203
CAIXABANK,"2,5860","0,27","2,5980","2,5560",3.359.607,"8.662,58",09/04/2021,15:27:04,20.788.409
CELLNEX,"42,1400","0,33","42,3200","41,7200",1.474.499,"61.958,12",09/04/2021,15:27:26,20.441.764
CIE AUTOMOT.,"21,7800","-2,68","22,3800","21,7000",101.399,"2.223,09",09/04/2021,15:12:46,2.742.669
ENAGAS,"18,7600","0,56","18,7700","18,4900",279.794,"5.210,33",09/04/2021,15:27:21,4.887.425
ENDESA,"22,7300","-1,00","23,0000","22,6800",290.889,"6.655,67",09/04/2021,15:26:45,24.308.949
FERROVIAL,"22,4200","0,09","22,4400","22,0700",184.109,"4.112,52",09/04/2021,15:26:41,16.417.013
FLUIDRA,"25,3000","0,80","25,8500","25,1000",274.731,"6.986,86",09/04/2021,15:25:01,4.910.290
GRIFOLS CL.A,"23,4500","0,26","23,5200","23,1700",286.789,"6.708,84",09/04/2021,15:27:13,9.967.176
IAG,"2,4410","-1,69","2,4990","2,4360",5.754.108,"14.200,25",09/04/2021,15:27:19,12.344.175
IBERDROLA,"11,5500","0,13","11,5900","11,4650",5.806.873,"67.118,68",09/04/2021,15:25:51,74.033.429
INDITEX,"27,8800","-0,11","27,9100","27,5700",632.066,"17.521,87",09/04/2021,15:27:16,86.985.757
INDRA A,"7,4700","0,27","7,5100","7,3950",591.221,"4.408,44",09/04/2021,15:23:47,1.316.075
INM.COLONIAL,"8,1400","-1,39","8,2650","8,1300",80.513,"660,51",09/04/2021,15:21:19,4.194.488
MAPFRE,"1,7790","-0,86","1,7990","1,7735",2.016.294,"3.591,00",09/04/2021,15:26:50,5.526.258
MELIA HOTELS,"6,4580","-1,40","6,5960","6,4520",394.701,"2.572,53",09/04/2021,15:23:17,1.443.620
MERLIN,"8,9140","-1,81","9,0720","8,9080",213.074,"1.915,96",09/04/2021,15:25:53,4.264.579
NATURGY,"20,9100","-0,52","21,0200","20,8100",74.621,"1.557,89",09/04/2021,15:21:53,20.381.282
PHARMA MAR,"95,4400","-1,81","97,7200","94,5800",55.736,"5.346,51",09/04/2021,15:27:11,1.784.097
R.E.C.,"15,1600","-0,59","15,2300","15,0800",674.040,"10.236,70",09/04/2021,15:22:10,8.251.470
REPSOL,"10,1960","-0,10","10,2540","10,1400",1.578.382,"16.093,07",09/04/2021,15:27:00,16.001.891
SIEMENS GAME,"31,0600","-1,05","31,4700","30,8800",298.101,"9.278,93",09/04/2021,15:26:57,21.381.091
SOLARIA,"17,9300","-3,71","18,6350","17,7650",843.216,"15.166,03",09/04/2021,15:26:39,2.326.585
TELEFONICA,"3,8065","-0,30","3,8400","3,7825",4.086.367,"15.544,74",09/04/2021,15:26:23,21.099.914
VISCOFAN,"60,0000","-0,25","60,4500","59,7000",31.355,"1.881,67",09/04/2021,15:18:51,2.796.975
