Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,"139,7000","1,09","139,9000","137,9000",32.584,"4.528,63",08/04/2021,16:03:17
ACERINOX,"11,2350","0,00","11,3200","11,1750",199.624,"2.245,43",08/04/2021,16:04:23
ACS,"27,7900","-0,82","28,2500","27,4600",427.454,"11.829,71",08/04/2021,16:04:40
AENA,"139,8500","1,19","140,1000","138,1000",56.918,"7.902,30",08/04/2021,16:04:35
ALMIRALL,"12,6200","0,40","12,7200","12,5000",158.009,"1.995,22",08/04/2021,16:04:33
AMADEUS,"60,3400","0,67","60,4600","59,8800",198.339,"11.933,87",08/04/2021,16:04:35
ARCELORMIT.,"24,2650","-0,70","24,9600","24,1200",245.355,"6.010,26",08/04/2021,16:03:40
B.SANTANDER,"2,8910","-2,00","2,9710","2,8790",15.752.890,"45.881,27",08/04/2021,16:04:41
BA.SABADELL,"0,4571","-2,18","0,4695","0,4536",21.295.656,"9.752,20",08/04/2021,16:04:36
BANKINTER,"5,8200","-0,48","5,8960","5,7600",950.643,"5.519,60",08/04/2021,16:04:41
BBVA,"4,4895","-0,63","4,5570","4,4435",5.295.904,"23.772,72",08/04/2021,16:04:41
CAIXABANK,"2,5650","-1,99","2,6360","2,5450",6.389.940,"16.471,38",08/04/2021,16:04:40
CELLNEX,"42,1800","-0,38","43,2400","40,8300",1.541.039,"64.845,27",08/04/2021,16:04:42
CIE AUTOMOT.,"22,2400","-0,09","22,5200","22,1800",34.821,"778,90",08/04/2021,16:04:26
ENAGAS,"18,6200","-0,85","18,9450","18,5650",402.875,"7.555,92",08/04/2021,16:04:20
ENDESA,"22,9700","1,10","22,9800","22,7200",297.844,"6.809,84",08/04/2021,16:04:23
FERROVIAL,"22,3500","1,22","22,3500","21,9200",260.806,"5.774,69",08/04/2021,16:02:21
FLUIDRA,"25,2000","-0,40","25,7500","25,0500",127.275,"3.236,65",08/04/2021,16:01:56
GRIFOLS CL.A,"23,5300","5,14","23,5700","22,5400",923.828,"21.430,35",08/04/2021,16:04:32
IAG,"2,4650","-2,18","2,5370","2,4400",12.407.119,"30.659,56",08/04/2021,16:04:22
IBERDROLA,"11,4800","2,09","11,4800","11,2350",4.900.755,"55.619,64",08/04/2021,16:04:41
INDITEX,"27,8000","-0,54","28,2300","27,7100",441.751,"12.305,90",08/04/2021,16:02:58
INDRA A,"7,4500","-1,84","7,5950","7,4100",567.706,"4.249,21",08/04/2021,15:59:56
INM.COLONIAL,"8,2300","-0,84","8,3000","8,1600",145.218,"1.194,87",08/04/2021,16:01:10
MAPFRE,"1,7970","-1,40","1,8350","1,7915",1.597.429,"2.883,28",08/04/2021,16:03:56
MELIA HOTELS,"6,4840","-2,96","6,7240","6,4680",463.574,"3.042,49",08/04/2021,16:04:22
MERLIN,"9,0920","0,82","9,1320","8,9440",277.633,"2.513,26",08/04/2021,16:01:33
NATURGY,"20,8500","0,53","20,9400","20,7600",144.287,"3.006,74",08/04/2021,16:01:19
PHARMA MAR,"96,4200","-0,29","97,0600","94,1000",121.093,"11.550,80",08/04/2021,16:04:28
R.E.C.,"15,1800","1,27","15,2000","14,9650",460.232,"6.950,53",08/04/2021,16:04:17
REPSOL,"10,1780","-2,84","10,5280","10,1060",3.803.880,"38.968,46",08/04/2021,16:04:35
SIEMENS GAME,"31,1800","1,93","31,1900","30,4400",397.673,"12.272,76",08/04/2021,16:03:39
SOLARIA,"18,5800","3,05","18,6700","17,8000",710.590,"13.012,47",08/04/2021,16:04:41
TELEFONICA,"3,7825","-0,62","3,8410","3,7725",5.845.918,"22.172,45",08/04/2021,16:04:22
VISCOFAN,"60,3500","1,77","60,4500","59,4000",49.334,"2.956,89",08/04/2021,16:00:55
