Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,"140,2000","1,45","140,2000","137,9000",39.335,"5.472,79",08/04/2021,16:34:37
ACERINOX,"11,2500","0,13","11,3200","11,1750",220.681,"2.482,07",08/04/2021,16:34:58
ACS,"27,8000","-0,79","28,2500","27,4600",442.026,"12.234,78",08/04/2021,16:34:59
AENA,"139,8500","1,19","140,1000","138,1000",59.536,"8.268,32",08/04/2021,16:34:30
ALMIRALL,"12,6200","0,40","12,7200","12,5000",168.327,"2.125,45",08/04/2021,16:34:23
AMADEUS,"60,1800","0,40","60,4600","59,8800",224.699,"13.521,29",08/04/2021,16:35:00
ARCELORMIT.,"24,2150","-0,90","24,9600","24,1200",261.065,"6.390,50",08/04/2021,16:33:42
B.SANTANDER,"2,8955","-1,85","2,9710","2,8790",16.821.526,"48.970,68",08/04/2021,16:34:56
BA.SABADELL,"0,4578","-2,03","0,4695","0,4536",22.119.456,"10.128,70",08/04/2021,16:34:57
BANKINTER,"5,8340","-0,24","5,8960","5,7600",1.033.435,"6.002,04",08/04/2021,16:34:34
BBVA,"4,5055","-0,28","4,5570","4,4435",5.996.690,"26.924,66",08/04/2021,16:34:51
CAIXABANK,"2,5680","-1,87","2,6360","2,5450",6.644.307,"17.123,99",08/04/2021,16:34:57
CELLNEX,"41,9200","-0,99","43,2400","40,8300",1.662.885,"69.969,69",08/04/2021,16:34:39
CIE AUTOMOT.,"22,2200","-0,18","22,5200","22,1800",35.623,"796,72",08/04/2021,16:17:27
ENAGAS,"18,6450","-0,72","18,9450","18,5650",431.760,"8.094,17",08/04/2021,16:34:05
ENDESA,"23,0300","1,36","23,0300","22,7200",350.740,"8.026,01",08/04/2021,16:34:56
FERROVIAL,"22,3700","1,31","22,3700","21,9200",288.599,"6.395,88",08/04/2021,16:34:42
FLUIDRA,"25,1000","-0,79","25,7500","25,0500",133.222,"3.386,16",08/04/2021,16:30:25
GRIFOLS CL.A,"23,5500","5,23","23,7000","22,5400",1.036.295,"24.083,24",08/04/2021,16:33:44
IAG,"2,4690","-2,02","2,5370","2,4400",13.007.907,"32.141,38",08/04/2021,16:34:55
IBERDROLA,"11,4900","2,18","11,4950","11,2350",5.420.339,"61.585,36",08/04/2021,16:34:48
INDITEX,"27,8100","-0,50","28,2300","27,7100",469.476,"13.076,99",08/04/2021,16:34:51
INDRA A,"7,4350","-2,04","7,5950","7,4100",594.448,"4.448,26",08/04/2021,16:34:13
INM.COLONIAL,"8,2300","-0,84","8,3000","8,1600",156.297,"1.285,98",08/04/2021,16:34:45
MAPFRE,"1,7940","-1,56","1,8350","1,7915",1.706.907,"3.079,73",08/04/2021,16:34:54
MELIA HOTELS,"6,4900","-2,87","6,7240","6,4640",507.230,"3.325,21",08/04/2021,16:34:34
MERLIN,"9,0840","0,73","9,1320","8,9440",310.031,"2.807,37",08/04/2021,16:34:51
NATURGY,"20,8800","0,68","20,9400","20,7600",164.104,"3.420,10",08/04/2021,16:34:24
PHARMA MAR,"96,7800","0,08","97,0600","94,1000",126.335,"12.057,82",08/04/2021,16:34:58
R.E.C.,"15,1750","1,23","15,2000","14,9650",498.422,"7.530,05",08/04/2021,16:33:12
REPSOL,"10,1960","-2,67","10,5280","10,1060",4.091.301,"41.891,87",08/04/2021,16:34:59
SIEMENS GAME,"31,2800","2,26","31,3300","30,4400",453.983,"14.033,39",08/04/2021,16:34:39
SOLARIA,"18,5250","2,75","18,6700","17,8000",758.432,"13.899,51",08/04/2021,16:34:40
TELEFONICA,"3,7850","-0,55","3,8410","3,7725",6.190.308,"23.476,59",08/04/2021,16:34:53
VISCOFAN,"60,3500","1,77","60,4500","59,4000",50.600,"3.033,23",08/04/2021,16:34:07
