Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,"140,5000","1,66","140,8000","137,9000",45.561,"6.347,55",08/04/2021,17:04:06
ACERINOX,"11,2950","0,53","11,3200","11,1750",251.968,"2.835,05",08/04/2021,17:03:14
ACS,"27,8400","-0,64","28,2500","27,4600",457.114,"12.654,89",08/04/2021,17:04:55
AENA,"139,8500","1,19","140,1000","138,1000",64.146,"8.913,02",08/04/2021,17:04:53
ALMIRALL,"12,6300","0,48","12,7200","12,5000",191.972,"2.423,58",08/04/2021,17:04:45
AMADEUS,"60,3000","0,60","60,4600","59,8800",274.398,"16.516,15",08/04/2021,17:04:49
ARCELORMIT.,"24,4250","-0,04","24,9600","24,1200",279.101,"6.829,82",08/04/2021,17:03:27
B.SANTANDER,"2,9210","-0,98","2,9710","2,8790",18.516.177,"53.909,16",08/04/2021,17:04:57
BA.SABADELL,"0,4609","-1,37","0,4695","0,4536",24.846.329,"11.384,16",08/04/2021,17:04:54
BANKINTER,"5,8700","0,38","5,8960","5,7600",1.182.488,"6.876,77",08/04/2021,17:04:56
BBVA,"4,5440","0,58","4,5645","4,4435",8.058.446,"36.297,19",08/04/2021,17:04:57
CAIXABANK,"2,5810","-1,38","2,6360","2,5450",7.124.252,"18.361,79",08/04/2021,17:04:27
CELLNEX,"41,6300","-1,68","43,2400","40,8300",1.858.487,"78.131,89",08/04/2021,17:05:02
CIE AUTOMOT.,"22,4200","0,72","22,5200","22,1800",42.761,"956,18",08/04/2021,16:59:28
ENAGAS,"18,6100","-0,91","18,9450","18,5650",463.250,"8.680,58",08/04/2021,17:04:24
ENDESA,"22,9800","1,14","23,0400","22,7200",392.206,"8.978,52",08/04/2021,17:02:25
FERROVIAL,"22,3800","1,36","22,4600","21,9200",343.757,"7.630,52",08/04/2021,17:04:27
FLUIDRA,"25,0500","-0,99","25,7500","25,0500",153.999,"3.907,25",08/04/2021,16:59:18
GRIFOLS CL.A,"23,5400","5,18","23,7000","22,5400",1.119.881,"26.055,73",08/04/2021,17:04:59
IAG,"2,4800","-1,59","2,5370","2,4400",13.531.178,"33.437,50",08/04/2021,17:04:55
IBERDROLA,"11,4900","2,18","11,5150","11,2350",6.033.468,"68.633,49",08/04/2021,17:04:45
INDITEX,"27,8600","-0,32","28,2300","27,7100",507.661,"14.140,89",08/04/2021,17:04:58
INDRA A,"7,4650","-1,65","7,5950","7,4100",617.719,"4.621,80",08/04/2021,17:03:09
INM.COLONIAL,"8,2450","-0,66","8,3000","8,1600",169.207,"1.392,38",08/04/2021,17:01:05
MAPFRE,"1,7955","-1,48","1,8350","1,7915",1.930.683,"3.481,52",08/04/2021,17:04:44
MELIA HOTELS,"6,5420","-2,10","6,7240","6,4640",544.290,"3.567,00",08/04/2021,17:03:27
MERLIN,"9,0860","0,75","9,1320","8,9440",323.364,"2.928,63",08/04/2021,17:04:29
NATURGY,"20,8900","0,72","20,9400","20,7600",173.678,"3.620,10",08/04/2021,17:04:56
PHARMA MAR,"97,1800","0,50","97,2400","94,1000",132.058,"12.612,68",08/04/2021,17:04:06
R.E.C.,"15,1600","1,13","15,2000","14,9650",553.963,"8.372,73",08/04/2021,17:04:29
REPSOL,"10,1760","-2,86","10,5280","10,1060",5.361.450,"54.819,56",08/04/2021,17:04:53
SIEMENS GAME,"31,3600","2,52","31,4100","30,4400",535.572,"16.576,78",08/04/2021,17:04:14
SOLARIA,"18,4950","2,58","18,6700","17,8000",804.670,"14.755,85",08/04/2021,17:04:53
TELEFONICA,"3,8010","-0,13","3,8410","3,7725",6.892.830,"26.148,11",08/04/2021,17:05:01
VISCOFAN,"60,3500","1,77","60,4500","59,4000",53.126,"3.185,64",08/04/2021,17:04:45
