Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,"139,2000","0,72","139,9000","137,9000",28.082,"3.900,34",08/04/2021,15:31:52
ACERINOX,"11,2600","0,22","11,3200","11,1750",181.086,"2.037,16",08/04/2021,15:31:42
ACS,"27,7800","-0,86","28,2500","27,4600",408.501,"11.304,20",08/04/2021,15:31:37
AENA,"139,6000","1,01","140,1000","138,1000",53.595,"7.438,69",08/04/2021,15:32:03
ALMIRALL,"12,6200","0,40","12,7200","12,5000",139.634,"1.763,14",08/04/2021,15:29:54
AMADEUS,"60,1200","0,30","60,4600","59,8800",170.018,"10.228,55",08/04/2021,15:31:58
ARCELORMIT.,"24,4250","-0,04","24,9600","24,2650",204.521,"5.018,95",08/04/2021,15:31:52
B.SANTANDER,"2,8935","-1,92","2,9710","2,8870",13.699.304,"39.954,10",08/04/2021,15:32:03
BA.SABADELL,"0,4573","-2,14","0,4695","0,4536",19.509.158,"8.937,68",08/04/2021,15:31:52
BANKINTER,"5,8120","-0,62","5,8960","5,7600",808.432,"4.694,64",08/04/2021,15:31:50
BBVA,"4,4675","-1,12","4,5570","4,4435",4.433.453,"19.916,05",08/04/2021,15:31:59
CAIXABANK,"2,5620","-2,10","2,6360","2,5450",5.896.961,"15.210,62",08/04/2021,15:32:02
CELLNEX,"42,1300","-0,50","43,2400","40,8300",1.369.615,"57.612,69",08/04/2021,15:32:01
CIE AUTOMOT.,"22,3200","0,27","22,5200","22,2600",28.878,"646,67",08/04/2021,15:31:36
ENAGAS,"18,6550","-0,67","18,9450","18,6050",370.891,"6.960,41",08/04/2021,15:31:37
ENDESA,"22,9400","0,97","22,9400","22,7200",269.523,"6.159,65",08/04/2021,15:31:52
FERROVIAL,"22,3000","1,00","22,3400","21,9200",247.187,"5.470,66",08/04/2021,15:32:02
FLUIDRA,"25,2000","-0,40","25,7500","25,1500",115.961,"2.952,33",08/04/2021,15:31:32
GRIFOLS CL.A,"23,4000","4,56","23,4600","22,5400",808.108,"18.712,40",08/04/2021,15:31:17
IAG,"2,4700","-1,98","2,5370","2,4400",11.708.761,"28.936,89",08/04/2021,15:32:03
IBERDROLA,"11,4300","1,65","11,4300","11,2350",4.271.586,"48.415,26",08/04/2021,15:31:18
INDITEX,"27,7500","-0,72","28,2300","27,7100",415.467,"11.575,81",08/04/2021,15:32:03
INDRA A,"7,4350","-2,04","7,5950","7,4100",552.079,"4.133,01",08/04/2021,15:31:15
INM.COLONIAL,"8,2450","-0,66","8,3000","8,1600",123.298,"1.014,46",08/04/2021,15:32:03
MAPFRE,"1,7985","-1,32","1,8350","1,7920",1.418.327,"2.561,76",08/04/2021,15:31:42
MELIA HOTELS,"6,5140","-2,51","6,7240","6,5120",368.881,"2.427,39",08/04/2021,15:31:14
MERLIN,"9,1080","1,00","9,1320","8,9440",258.570,"2.340,06",08/04/2021,15:32:03
NATURGY,"20,8800","0,68","20,9400","20,7600",128.624,"2.679,94",08/04/2021,15:30:57
PHARMA MAR,"95,1000","-1,65","97,0600","94,1000",112.630,"10.738,04",08/04/2021,15:30:56
R.E.C.,"15,1700","1,20","15,1750","14,9650",420.378,"6.345,64",08/04/2021,15:31:52
REPSOL,"10,1700","-2,92","10,5280","10,1700",2.280.226,"23.483,15",08/04/2021,15:31:53
SIEMENS GAME,"31,0900","1,63","31,1800","30,4400",361.205,"11.138,89",08/04/2021,15:30:53
SOLARIA,"18,5550","2,91","18,6700","17,8000",633.693,"11.584,36",08/04/2021,15:31:46
TELEFONICA,"3,7900","-0,42","3,8410","3,7745",5.409.729,"20.523,66",08/04/2021,15:32:03
VISCOFAN,"60,3000","1,69","60,4000","59,4000",41.698,"2.495,89",08/04/2021,15:20:55
