Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,"139,8000","1,16","139,9000","137,9000",36.307,"5.048,80",08/04/2021,16:19:02
ACERINOX,"11,2400","0,04","11,3200","11,1750",205.376,"2.310,05",08/04/2021,16:18:40
ACS,"27,8100","-0,75","28,2500","27,4600",436.462,"12.080,03",08/04/2021,16:19:48
AENA,"139,8000","1,16","140,1000","138,1000",58.008,"8.054,68",08/04/2021,16:19:35
ALMIRALL,"12,6000","0,24","12,7200","12,5000",166.142,"2.097,89",08/04/2021,16:19:46
AMADEUS,"60,1600","0,37","60,4600","59,8800",210.496,"12.666,18",08/04/2021,16:19:37
ARCELORMIT.,"24,2300","-0,84","24,9600","24,1200",254.396,"6.229,13",08/04/2021,16:16:25
B.SANTANDER,"2,8955","-1,85","2,9710","2,8790",16.267.494,"47.368,89",08/04/2021,16:19:50
BA.SABADELL,"0,4578","-2,03","0,4695","0,4536",21.750.670,"9.960,15",08/04/2021,16:19:30
BANKINTER,"5,8380","-0,17","5,8960","5,7600",988.578,"5.740,74",08/04/2021,16:18:13
BBVA,"4,4975","-0,45","4,5570","4,4435",5.540.899,"24.873,70",08/04/2021,16:19:48
CAIXABANK,"2,5690","-1,83","2,6360","2,5450",6.517.000,"16.797,37",08/04/2021,16:19:47
CELLNEX,"42,0400","-0,71","43,2400","40,8300",1.597.188,"67.211,73",08/04/2021,16:19:49
CIE AUTOMOT.,"22,2200","-0,18","22,5200","22,1800",35.623,"796,72",08/04/2021,16:17:27
ENAGAS,"18,6450","-0,72","18,9450","18,5650",418.512,"7.847,33",08/04/2021,16:18:48
ENDESA,"22,9700","1,10","22,9800","22,7200",309.283,"7.072,49",08/04/2021,16:17:00
FERROVIAL,"22,3500","1,22","22,3600","21,9200",271.419,"6.011,84",08/04/2021,16:18:37
FLUIDRA,"25,1500","-0,59","25,7500","25,0500",131.523,"3.343,49",08/04/2021,16:17:58
GRIFOLS CL.A,"23,5800","5,36","23,7000","22,5400",1.011.733,"23.505,06",08/04/2021,16:19:48
IAG,"2,4680","-2,06","2,5370","2,4400",12.791.176,"31.606,10",08/04/2021,16:18:39
IBERDROLA,"11,4700","2,00","11,4950","11,2350",5.247.845,"59.604,44",08/04/2021,16:19:17
INDITEX,"27,8100","-0,50","28,2300","27,7100",452.206,"12.596,58",08/04/2021,16:19:38
INDRA A,"7,4400","-1,98","7,5950","7,4100",582.478,"4.359,17",08/04/2021,16:18:30
INM.COLONIAL,"8,2200","-0,96","8,3000","8,1600",150.503,"1.238,31",08/04/2021,16:14:46
MAPFRE,"1,7970","-1,40","1,8350","1,7915",1.624.026,"2.931,05",08/04/2021,16:18:33
MELIA HOTELS,"6,4820","-2,99","6,7240","6,4640",489.349,"3.209,32",08/04/2021,16:19:44
MERLIN,"9,0720","0,60","9,1320","8,9440",299.506,"2.711,84",08/04/2021,16:19:10
NATURGY,"20,8500","0,53","20,9400","20,7600",155.636,"3.243,44",08/04/2021,16:18:37
PHARMA MAR,"96,6000","-0,10","97,0600","94,1000",125.285,"11.956,39",08/04/2021,16:19:37
R.E.C.,"15,1700","1,20","15,2000","14,9650",480.687,"7.260,82",08/04/2021,16:19:20
REPSOL,"10,1640","-2,98","10,5280","10,1060",3.935.143,"40.304,12",08/04/2021,16:19:46
SIEMENS GAME,"31,3100","2,35","31,3300","30,4400",436.003,"13.471,07",08/04/2021,16:19:47
SOLARIA,"18,5700","3,00","18,6700","17,8000",729.302,"13.359,77",08/04/2021,16:19:47
TELEFONICA,"3,7870","-0,50","3,8410","3,7725",6.002.978,"22.767,21",08/04/2021,16:19:09
VISCOFAN,"60,3000","1,69","60,4500","59,4000",49.629,"2.974,70",08/04/2021,16:10:16
