Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,"140,8000","1,88","140,8000","137,9000",60.038,"8.383,13",08/04/2021,17:35:00
ACERINOX,"11,2900","0,49","11,3200","11,1750",365.564,"4.118,06",08/04/2021,17:35:00
ACS,"27,8300","-0,68","28,2500","27,4600",499.652,"13.839,42",08/04/2021,17:35:00
AENA,"139,9000","1,23","140,4500","138,1000",85.249,"11.866,65",08/04/2021,17:35:00
ALMIRALL,"12,6100","0,32","12,7200","12,5000",236.368,"2.983,51",08/04/2021,17:35:00
AMADEUS,"60,3800","0,73","60,4600","59,8800",325.091,"19.571,05",08/04/2021,17:29:58
ARCELORMIT.,"24,3700","-0,27","24,9600","24,1200",300.643,"7.355,59",08/04/2021,17:29:59
B.SANTANDER,"2,9155","-1,17","2,9710","2,8790",20.358.767,"59.289,93",08/04/2021,17:29:59
BA.SABADELL,"0,4607","-1,41","0,4695","0,4536",26.923.481,"12.342,71",08/04/2021,17:29:57
BANKINTER,"5,8720","0,41","5,8960","5,7600",1.283.170,"7.468,38",08/04/2021,17:29:43
BBVA,"4,5385","0,45","4,5645","4,4435",9.507.490,"42.880,82",08/04/2021,17:35:00
CAIXABANK,"2,5770","-1,53","2,6360","2,5450",7.663.391,"19.753,07",08/04/2021,17:29:56
CELLNEX,"41,8000","-1,28","43,2400","40,8300",2.107.436,"88.507,83",08/04/2021,17:29:58
CIE AUTOMOT.,"22,4800","0,99","22,5200","22,1800",50.325,"1.126,05",08/04/2021,17:29:57
ENAGAS,"18,6250","-0,83","18,9450","18,5650",499.509,"9.355,57",08/04/2021,17:29:50
ENDESA,"23,0300","1,36","23,0400","22,7200",427.176,"9.782,67",08/04/2021,17:29:46
FERROVIAL,"22,4300","1,59","22,4600","21,9200",376.782,"8.370,05",08/04/2021,17:29:45
FLUIDRA,"25,1500","-0,59","25,7500","25,0000",161.311,"4.090,51",08/04/2021,17:29:58
GRIFOLS CL.A,"23,4500","4,78","23,7000","22,5400",1.211.910,"28.217,63",08/04/2021,17:29:55
IAG,"2,4800","-1,59","2,5370","2,4400",14.501.447,"35.843,84",08/04/2021,17:29:50
IBERDROLA,"11,5100","2,36","11,5250","11,2350",6.773.674,"77.150,81",08/04/2021,17:29:57
INDITEX,"27,8500","-0,36","28,2300","27,7100",631.116,"17.579,55",08/04/2021,17:29:56
INDRA A,"7,4650","-1,65","7,5950","7,4100",660.176,"4.938,64",08/04/2021,17:29:58
INM.COLONIAL,"8,2400","-0,72","8,3000","8,1600",197.039,"1.622,20",08/04/2021,17:29:57
MAPFRE,"1,7970","-1,40","1,8350","1,7915",2.115.172,"3.812,78",08/04/2021,17:29:49
MELIA HOTELS,"6,5600","-1,83","6,7240","6,4640",629.080,"4.122,07",08/04/2021,17:29:57
MERLIN,"9,0940","0,84","9,1320","8,9440",360.314,"3.264,25",08/04/2021,17:29:57
NATURGY,"20,9300","0,92","20,9400","20,7600",194.663,"4.058,59",08/04/2021,17:29:55
PHARMA MAR,"97,7000","1,03","97,8000","94,1000",144.154,"13.792,71",08/04/2021,17:29:56
R.E.C.,"15,1850","1,30","15,2000","14,9650",638.477,"9.655,14",08/04/2021,17:29:59
REPSOL,"10,1920","-2,71","10,5280","10,1060",5.765.615,"58.941,05",08/04/2021,17:29:56
SIEMENS GAME,"31,3000","2,32","31,4300","30,4400",584.110,"18.099,56",08/04/2021,17:29:53
SOLARIA,"18,5150","2,69","18,6700","17,8000",846.624,"15.533,81",08/04/2021,17:29:59
TELEFONICA,"3,8045","-0,04","3,8410","3,7725",7.897.210,"29.970,84",08/04/2021,17:29:51
VISCOFAN,"60,0500","1,26","60,4500","59,4000",72.310,"4.337,79",08/04/2021,17:29:49
