Nombre;Últ.;% Dif.;Máx.;Mín.;Volumen;Efectivo (miles €);Fecha;Hora;Capitalización;
IAG;2,5100;2,12;2,5430;2,4760;18.708.885;46.986,78;06/04/2021;17:16:25;12.219.888;
IBERDROLA;11,3250;2,63;11,3250;11,1650;12.917.524;145.386,31;06/04/2021;17:16:50;70.824.351;
INDITEX;28,4900;0,67;28,6700;28,2000;847.417;24.109,84;06/04/2021;17:16:42;88.201.252;
INDRA A;7,7000;2,67;7,7800;7,5750;526.327;4.051,84;06/04/2021;17:16:20;1.324.908;
INM.COLONIAL;8,3100;0,42;8,3750;8,1950;140.747;1.167,34;06/04/2021;17:16:21;4.204.650;
MAPFRE;1,8065;2,24;1,8380;1,8035;4.500.030;8.191,43;06/04/2021;17:16:43;5.441.571;
MELIA HOTELS;6,6940;3,98;6,7220;6,5360;783.700;5.205,59;06/04/2021;17:16:49;1.418.935;
MERLIN;8,9820;0,92;9,1460;8,9160;605.691;5.439,76;06/04/2021;17:16:35;4.180.960;
NATURGY;20,8200;0,14;21,0500;20,6300;278.163;5.776,74;06/04/2021;17:15:02;20.158.271;
PHARMA MAR;99,0200;1,45;99,8800;96,3000;95.645;9.411,92;06/04/2021;17:16:51;1.791.439;
R.E.C.;14,8000;-1,30;15,0300;14,3200;1.533.967;22.430,58;06/04/2021;17:16:52;8.113.495;
REPSOL;10,4540;0,15;10,6400;10,4400;3.411.756;35.994,05;06/04/2021;17:16:50;16.365.642;
SIEMENS GAME;31,5800;-2,68;33,0000;31,4500;988.785;31.691,38;06/04/2021;17:16:31;22.103.103;
SOLARIA;18,0500;-2,96;18,8250;17,3100;1.705.741;30.327,76;06/04/2021;17:16:45;2.324.086;
TELEFONICA;3,8010;0,50;3,8430;3,7755;24.914.246;95.083,03;06/04/2021;17:16:53;20.900.962;
VISCOFAN;59,4500;0,76;59,6000;58,7500;71.615;4.230,09;06/04/2021;17:16:48;2.743.500;
