Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,"139,4000","0,87","139,9000","137,9000",28.168,"3.912,32",08/04/2021,15:34:19
ACERINOX,"11,2500","0,13","11,3200","11,1750",181.886,"2.046,16",08/04/2021,15:34:12
ACS,"27,7500","-0,96","28,2500","27,4600",408.920,"11.315,83",08/04/2021,15:32:04
AENA,"139,4500","0,90","140,1000","138,1000",53.906,"7.482,08",08/04/2021,15:34:10
ALMIRALL,"12,6200","0,40","12,7200","12,5000",139.634,"1.763,14",08/04/2021,15:29:54
AMADEUS,"60,1400","0,33","60,4600","59,8800",170.838,"10.277,84",08/04/2021,15:33:59
ARCELORMIT.,"24,4350","0,00","24,9600","24,2650",207.795,"5.098,92",08/04/2021,15:33:50
B.SANTANDER,"2,8925","-1,95","2,9710","2,8870",13.738.041,"40.066,12",08/04/2021,15:34:48
BA.SABADELL,"0,4568","-2,25","0,4695","0,4536",19.674.397,"9.013,16",08/04/2021,15:34:29
BANKINTER,"5,8100","-0,65","5,8960","5,7600",817.720,"4.748,59",08/04/2021,15:33:37
BBVA,"4,4625","-1,23","4,5570","4,4435",4.458.901,"20.029,65",08/04/2021,15:33:27
CAIXABANK,"2,5580","-2,25","2,6360","2,5450",5.943.612,"15.330,03",08/04/2021,15:33:59
CELLNEX,"42,1000","-0,57","43,2400","40,8300",1.387.703,"58.374,71",08/04/2021,15:34:41
CIE AUTOMOT.,"22,3200","0,27","22,5200","22,2600",28.878,"646,67",08/04/2021,15:31:36
ENAGAS,"18,6450","-0,72","18,9450","18,6050",373.832,"7.015,24",08/04/2021,15:33:57
ENDESA,"22,9400","0,97","22,9400","22,7200",270.303,"6.177,55",08/04/2021,15:32:17
FERROVIAL,"22,3000","1,00","22,3400","21,9200",247.187,"5.470,66",08/04/2021,15:32:02
FLUIDRA,"25,1500","-0,59","25,7500","25,1500",118.198,"3.008,59",08/04/2021,15:32:31
GRIFOLS CL.A,"23,4300","4,69","23,4600","22,5400",810.710,"18.773,29",08/04/2021,15:34:50
IAG,"2,4660","-2,14","2,5370","2,4400",11.751.078,"29.041,29",08/04/2021,15:34:46
IBERDROLA,"11,4350","1,69","11,4400","11,2350",4.317.634,"48.941,72",08/04/2021,15:34:39
INDITEX,"27,7500","-0,72","28,2300","27,7100",416.304,"11.599,03",08/04/2021,15:32:53
INDRA A,"7,4350","-2,04","7,5950","7,4100",552.079,"4.133,01",08/04/2021,15:31:15
INM.COLONIAL,"8,2350","-0,78","8,3000","8,1600",123.843,"1.018,95",08/04/2021,15:33:55
MAPFRE,"1,7980","-1,34","1,8350","1,7920",1.433.669,"2.589,34",08/04/2021,15:33:59
MELIA HOTELS,"6,4820","-2,99","6,7240","6,4760",419.398,"2.755,89",08/04/2021,15:34:34
MERLIN,"9,0920","0,82","9,1320","8,9440",259.121,"2.345,08",08/04/2021,15:33:33
NATURGY,"20,8700","0,63","20,9400","20,7600",128.766,"2.682,90",08/04/2021,15:34:03
PHARMA MAR,"95,4400","-1,30","97,0600","94,1000",113.678,"10.837,92",08/04/2021,15:34:39
R.E.C.,"15,1700","1,20","15,1750","14,9650",422.806,"6.382,48",08/04/2021,15:33:20
REPSOL,"10,1700","-2,92","10,5280","10,1700",2.673.185,"27.479,56",08/04/2021,15:34:35
SIEMENS GAME,"31,0600","1,54","31,1800","30,4400",361.821,"11.158,03",08/04/2021,15:34:52
SOLARIA,"18,6050","3,19","18,6700","17,8000",649.116,"11.870,99",08/04/2021,15:34:22
TELEFONICA,"3,7815","-0,64","3,8410","3,7745",5.454.700,"20.693,93",08/04/2021,15:34:12
VISCOFAN,"60,3500","1,77","60,4000","59,4000",42.069,"2.518,28",08/04/2021,15:32:05
