Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,"140,6000","1,74","140,6000","137,9000",42.582,"5.928,72",08/04/2021,16:49:28
ACERINOX,"11,2900","0,49","11,3200","11,1750",234.840,"2.641,75",08/04/2021,16:49:54
ACS,"27,8700","-0,54","28,2500","27,4600",449.449,"12.441,56",08/04/2021,16:50:02
AENA,"139,8000","1,16","140,1000","138,1000",61.203,"8.501,58",08/04/2021,16:50:00
ALMIRALL,"12,6100","0,32","12,7200","12,5000",187.560,"2.367,89",08/04/2021,16:49:23
AMADEUS,"60,2600","0,53","60,4600","59,8800",235.244,"14.157,08",08/04/2021,16:49:19
ARCELORMIT.,"24,3550","-0,33","24,9600","24,1200",272.482,"6.668,36",08/04/2021,16:49:18
B.SANTANDER,"2,9195","-1,03","2,9710","2,8790",17.755.553,"51.687,43",08/04/2021,16:50:02
BA.SABADELL,"0,4621","-1,11","0,4695","0,4536",24.097.005,"11.038,39",08/04/2021,16:49:56
BANKINTER,"5,8780","0,51","5,8960","5,7600",1.128.671,"6.560,48",08/04/2021,16:49:54
BBVA,"4,5555","0,83","4,5570","4,4435",6.950.151,"31.249,59",08/04/2021,16:50:01
CAIXABANK,"2,5840","-1,26","2,6360","2,5450",6.873.765,"17.715,42",08/04/2021,16:50:02
CELLNEX,"41,7500","-1,39","43,2400","40,8300",1.740.112,"73.202,58",08/04/2021,16:50:02
CIE AUTOMOT.,"22,4000","0,63","22,5200","22,1800",40.287,"900,69",08/04/2021,16:46:56
ENAGAS,"18,6250","-0,83","18,9450","18,5650",444.243,"8.326,70",08/04/2021,16:49:30
ENDESA,"22,9300","0,92","23,0400","22,7200",386.610,"8.850,01",08/04/2021,16:49:45
FERROVIAL,"22,3600","1,27","22,4600","21,9200",317.844,"7.050,98",08/04/2021,16:49:52
FLUIDRA,"25,0500","-0,99","25,7500","25,0500",139.984,"3.555,72",08/04/2021,16:38:00
GRIFOLS CL.A,"23,5800","5,36","23,7000","22,5400",1.097.751,"25.534,82",08/04/2021,16:50:02
IAG,"2,4750","-1,79","2,5370","2,4400",13.278.731,"32.812,28",08/04/2021,16:49:26
IBERDROLA,"11,4850","2,13","11,5000","11,2350",5.617.502,"63.850,59",08/04/2021,16:50:02
INDITEX,"27,8500","-0,36","28,2300","27,7100",487.197,"13.570,46",08/04/2021,16:49:03
INDRA A,"7,4700","-1,58","7,5950","7,4100",606.220,"4.535,99",08/04/2021,16:44:50
INM.COLONIAL,"8,2350","-0,78","8,3000","8,1600",164.990,"1.357,62",08/04/2021,16:49:59
MAPFRE,"1,7960","-1,45","1,8350","1,7915",1.767.429,"3.188,34",08/04/2021,16:49:25
MELIA HOTELS,"6,5200","-2,42","6,7240","6,4640",526.375,"3.449,99",08/04/2021,16:48:52
MERLIN,"9,0900","0,80","9,1320","8,9440",319.298,"2.891,68",08/04/2021,16:49:23
NATURGY,"20,8800","0,68","20,9400","20,7600",167.113,"3.482,96",08/04/2021,16:45:40
PHARMA MAR,"96,9800","0,29","97,0600","94,1000",128.948,"12.310,70",08/04/2021,16:49:24
R.E.C.,"15,1700","1,20","15,2000","14,9650",517.956,"7.826,56",08/04/2021,16:50:00
REPSOL,"10,2060","-2,58","10,5280","10,1060",4.273.272,"43.749,19",08/04/2021,16:49:55
SIEMENS GAME,"31,4100","2,68","31,4100","30,4400",494.114,"15.290,69",08/04/2021,16:49:59
SOLARIA,"18,5300","2,77","18,6700","17,8000",780.859,"14.315,04",08/04/2021,16:49:19
TELEFONICA,"3,8045","-0,04","3,8410","3,7725",6.724.400,"25.507,40",08/04/2021,16:49:55
VISCOFAN,"60,3000","1,69","60,4500","59,4000",52.233,"3.131,77",08/04/2021,16:45:59
