Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,"139,4000","0,87","139,9000","137,9000",30.134,"4.186,44",08/04/2021,15:47:29
ACERINOX,"11,2100","-0,22","11,3200","11,1750",190.597,"2.144,01",08/04/2021,15:49:08
ACS,"27,6900","-1,18","28,2500","27,4600",419.333,"11.604,29",08/04/2021,15:49:47
AENA,"139,5000","0,94","140,1000","138,1000",55.715,"7.734,38",08/04/2021,15:48:51
ALMIRALL,"12,6300","0,48","12,7200","12,5000",152.592,"1.926,76",08/04/2021,15:49:03
AMADEUS,"60,1200","0,30","60,4600","59,8800",179.342,"10.789,54",08/04/2021,15:49:41
ARCELORMIT.,"24,1450","-1,19","24,9600","24,1200",240.234,"5.886,02",08/04/2021,15:49:25
B.SANTANDER,"2,8840","-2,24","2,9710","2,8790",15.041.970,"43.827,20",08/04/2021,15:49:43
BA.SABADELL,"0,4551","-2,61","0,4695","0,4536",20.692.178,"9.476,88",08/04/2021,15:49:50
BANKINTER,"5,7900","-0,99","5,8960","5,7600",880.593,"5.113,01",08/04/2021,15:49:43
BBVA,"4,4630","-1,22","4,5570","4,4435",4.801.854,"21.559,11",08/04/2021,15:49:35
CAIXABANK,"2,5500","-2,56","2,6360","2,5450",6.135.091,"15.818,83",08/04/2021,15:49:09
CELLNEX,"42,1900","-0,35","43,2400","40,8300",1.466.128,"61.682,76",08/04/2021,15:49:45
CIE AUTOMOT.,"22,2000","-0,27","22,5200","22,1800",32.254,"721,79",08/04/2021,15:49:43
ENAGAS,"18,6100","-0,91","18,9450","18,5650",393.461,"7.380,63",08/04/2021,15:48:26
ENDESA,"22,9700","1,10","22,9700","22,7200",291.413,"6.662,17",08/04/2021,15:49:35
FERROVIAL,"22,3300","1,13","22,3400","21,9200",254.445,"5.632,58",08/04/2021,15:48:01
FLUIDRA,"25,0500","-0,99","25,7500","25,0500",121.813,"3.099,29",08/04/2021,15:47:12
GRIFOLS CL.A,"23,5100","5,05","23,5400","22,5400",881.008,"20.423,46",08/04/2021,15:49:15
IAG,"2,4710","-1,94","2,5370","2,4400",12.093.285,"29.884,70",08/04/2021,15:49:48
IBERDROLA,"11,4500","1,82","11,4500","11,2350",4.475.089,"50.742,56",08/04/2021,15:49:11
INDITEX,"27,7700","-0,64","28,2300","27,7100",428.910,"11.949,04",08/04/2021,15:49:50
INDRA A,"7,4350","-2,04","7,5950","7,4100",563.610,"4.218,69",08/04/2021,15:48:53
INM.COLONIAL,"8,2300","-0,84","8,3000","8,1600",135.652,"1.116,12",08/04/2021,15:48:43
MAPFRE,"1,7920","-1,67","1,8350","1,7915",1.550.939,"2.799,84",08/04/2021,15:49:50
MELIA HOTELS,"6,4860","-2,93","6,7240","6,4680",435.145,"2.857,95",08/04/2021,15:48:56
MERLIN,"9,0760","0,64","9,1320","8,9440",267.982,"2.425,54",08/04/2021,15:45:00
NATURGY,"20,8600","0,58","20,9400","20,7600",134.965,"2.812,29",08/04/2021,15:48:14
PHARMA MAR,"95,8400","-0,89","97,0600","94,1000",116.546,"11.113,00",08/04/2021,15:49:51
R.E.C.,"15,1850","1,30","15,2000","14,9650",450.727,"6.806,30",08/04/2021,15:48:36
REPSOL,"10,1260","-3,34","10,5280","10,1060",3.609.676,"36.994,11",08/04/2021,15:49:50
SIEMENS GAME,"31,0200","1,41","31,1800","30,4400",377.385,"11.641,53",08/04/2021,15:49:22
SOLARIA,"18,4750","2,47","18,6700","17,8000",678.581,"12.418,38",08/04/2021,15:49:06
TELEFONICA,"3,7800","-0,68","3,8410","3,7725",5.696.443,"21.607,05",08/04/2021,15:49:41
VISCOFAN,"60,4500","1,94","60,4500","59,4000",45.607,"2.731,99",08/04/2021,15:47:11
